FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1038,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,740,,917,,1,0,328
1/1/2022 0:00,AA,2088,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1211,1222,1345,1403,0,0,328
1/1/2022 0:00,AA,2974,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,718,723,924,1024,0,0,588
1/1/2022 0:00,AA,3132,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1625,1655,1753,1913,0,0,328
1/1/2022 0:00,AA,3209,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1832,1923,1958,2147,0,0,328
1/1/2022 0:00,AA,3604,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,1442,,1647,,1,0,588
1/1/2022 0:00,AA,4146,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1420,1425,1558,1623,0,0,328
1/1/2022 0:00,AA,4251,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1021,1022,1148,1212,0,0,328
1/1/2022 0:00,AS,2085,ICT,"Wichita, KS",KS,62,SEA,"Seattle, WA",WA,93,1400,1406,1605,1618,0,0,1430
1/1/2022 0:00,DL,2349,ICT,"Wichita, KS",KS,62,ATL,"Atlanta, GA",GA,34,531,533,844,921,0,0,782
1/1/2022 0:00,DL,2728,ICT,"Wichita, KS",KS,62,ATL,"Atlanta, GA",GA,34,1300,1258,1603,1645,0,0,782
1/1/2022 0:00,DL,5112,ICT,"Wichita, KS",KS,62,MSP,"Minneapolis, MN",MN,63,1000,,1150,,1,0,545
1/1/2022 0:00,UA,4292,ICT,"Wichita, KS",KS,62,DEN,"Denver, CO",CO,82,940,,1033,,1,0,420
1/1/2022 0:00,UA,4310,ICT,"Wichita, KS",KS,62,IAH,"Houston, TX",TX,74,1640,1950,1839,2215,0,0,542
1/1/2022 0:00,UA,4327,ICT,"Wichita, KS",KS,62,IAH,"Houston, TX",TX,74,630,622,841,909,0,0,542
1/1/2022 0:00,UA,4800,ICT,"Wichita, KS",KS,62,IAH,"Houston, TX",TX,74,1141,1225,1340,1445,0,0,542
1/1/2022 0:00,UA,4803,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,600,557,802,754,0,0,588
1/1/2022 0:00,UA,5212,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,1445,,1653,,1,0,588
1/1/2022 0:00,UA,5352,ICT,"Wichita, KS",KS,62,DEN,"Denver, CO",CO,82,1203,1400,1245,1445,0,0,420
1/1/2022 0:00,UA,5867,ICT,"Wichita, KS",KS,62,DEN,"Denver, CO",CO,82,1700,1656,1749,1757,0,0,420
1/1/2022 0:00,WN,3100,ICT,"Wichita, KS",KS,62,STL,"St. Louis, MO",MO,64,550,547,720,703,0,0,392
1/1/2022 0:00,WN,3106,ICT,"Wichita, KS",KS,62,PHX,"Phoenix, AZ",AZ,81,1710,1742,1845,1915,0,0,870
1/1/2022 0:00,WN,3214,ICT,"Wichita, KS",KS,62,LAS,"Las Vegas, NV",NV,85,1440,1454,1525,1539,0,0,986
1/2/2022 0:00,AA,1038,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,740,736,917,913,0,0,328
1/2/2022 0:00,AA,2088,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1211,1442,1345,1557,0,0,328
1/2/2022 0:00,AA,2974,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,718,714,924,931,0,0,588
1/2/2022 0:00,AA,3132,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1625,1619,1753,1744,0,0,328
1/2/2022 0:00,AA,3209,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1832,1833,1958,1953,0,0,328
1/2/2022 0:00,AA,3604,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,1442,1442,1647,1648,0,0,588
1/2/2022 0:00,AA,4146,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1420,1417,1558,1545,0,0,328
1/2/2022 0:00,AA,4208,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,612,609,750,750,0,0,328
1/2/2022 0:00,AA,4251,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1021,1015,1148,1138,0,0,328
1/2/2022 0:00,AS,2085,ICT,"Wichita, KS",KS,62,SEA,"Seattle, WA",WA,93,1400,1359,1605,1601,0,0,1430
1/2/2022 0:00,DL,2349,ICT,"Wichita, KS",KS,62,ATL,"Atlanta, GA",GA,34,531,532,845,854,0,0,782
1/2/2022 0:00,DL,2468,ICT,"Wichita, KS",KS,62,ATL,"Atlanta, GA",GA,34,1850,1849,2156,2144,0,0,782
1/2/2022 0:00,DL,2728,ICT,"Wichita, KS",KS,62,ATL,"Atlanta, GA",GA,34,1133,1300,1435,1600,0,0,782
1/2/2022 0:00,DL,4635,ICT,"Wichita, KS",KS,62,MSP,"Minneapolis, MN",MN,63,740,757,937,1031,0,0,545
1/2/2022 0:00,DL,5413,ICT,"Wichita, KS",KS,62,MSP,"Minneapolis, MN",MN,63,1251,1258,1439,1457,0,0,545
1/2/2022 0:00,G4,201,ICT,"Wichita, KS",KS,62,LAS,"Las Vegas, NV",NV,85,1842,2223,1920,2251,0,0,986
1/2/2022 0:00,G4,2423,ICT,"Wichita, KS",KS,62,SFB,"Sanford, FL",FL,33,905,1022,1244,1353,0,0,1117
1/2/2022 0:00,UA,2029,ICT,"Wichita, KS",KS,62,DEN,"Denver, CO",CO,82,600,608,638,652,0,0,420
1/2/2022 0:00,UA,4292,ICT,"Wichita, KS",KS,62,DEN,"Denver, CO",CO,82,940,,1033,,1,0,420
1/2/2022 0:00,UA,4310,ICT,"Wichita, KS",KS,62,IAH,"Houston, TX",TX,74,1640,1648,1839,1824,0,0,542
1/2/2022 0:00,UA,4327,ICT,"Wichita, KS",KS,62,IAH,"Houston, TX",TX,74,630,956,841,1202,0,0,542
1/2/2022 0:00,UA,4800,ICT,"Wichita, KS",KS,62,IAH,"Houston, TX",TX,74,1141,,1340,,1,0,542
1/2/2022 0:00,UA,4803,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,600,,802,,1,0,588
1/2/2022 0:00,UA,5212,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,1445,1439,1653,1646,0,0,588
1/2/2022 0:00,UA,5352,ICT,"Wichita, KS",KS,62,DEN,"Denver, CO",CO,82,1203,,1245,,1,0,420
1/2/2022 0:00,UA,5867,ICT,"Wichita, KS",KS,62,DEN,"Denver, CO",CO,82,1700,,1749,,1,0,420
1/2/2022 0:00,WN,1188,ICT,"Wichita, KS",KS,62,STL,"St. Louis, MO",MO,64,750,751,920,920,0,0,392
1/2/2022 0:00,WN,1703,ICT,"Wichita, KS",KS,62,DEN,"Denver, CO",CO,82,2045,2238,2115,2301,0,0,420
1/2/2022 0:00,WN,1947,ICT,"Wichita, KS",KS,62,PHX,"Phoenix, AZ",AZ,81,1420,1438,1555,1557,0,0,870
1/2/2022 0:00,WN,2117,ICT,"Wichita, KS",KS,62,LAS,"Las Vegas, NV",NV,85,1250,1340,1335,1409,0,0,986
1/3/2022 0:00,AA,1038,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,740,739,917,908,0,0,328
1/3/2022 0:00,AA,2088,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1211,1307,1345,1422,0,0,328
1/3/2022 0:00,AA,2974,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,718,751,924,958,0,0,588
1/3/2022 0:00,AA,3132,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1625,1624,1753,1739,0,0,328
1/3/2022 0:00,AA,3209,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1832,1839,1958,1951,0,0,328
1/3/2022 0:00,AA,3604,ICT,"Wichita, KS",KS,62,ORD,"Chicago, IL",IL,41,1442,1434,1647,1630,0,0,588
1/3/2022 0:00,AA,4146,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1420,1420,1558,1530,0,0,328
1/3/2022 0:00,AA,4208,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,612,603,750,727,0,0,328
1/3/2022 0:00,AA,4251,ICT,"Wichita, KS",KS,62,DFW,"Dallas/Fort Worth, TX",TX,74,1021,1022,1148,1135,0,0,328
1/3/2022 0:00,AS,2085,ICT,"Wichita, KS",KS,62,SEA,"Seattle, WA",WA,93,1400,1355,1605,1619,0,0,1430
1/3/2022 0:00,DL,2349,ICT,"Wichita, KS",KS,62,ATL,"Atlanta, GA",GA,34,531,526,845,847,0,0,782
1/3/2022 0:00,DL,2468,ICT,"Wichita, KS",KS,62,ATL,"Atlanta, GA",GA,34,1850,1923,2156,2214,0,0,782
1/3/2022 0:00,DL,2728,ICT,"Wichita, KS",KS,62,ATL,"Atlanta, GA",GA,34,1133,1310,1435,1609,0,0,782
1/3/2022 0:00,DL,4635,ICT,"Wichita, KS",KS,62,MSP,"Minneapolis, MN",MN,63,713,708,910,927,0,0,545
1/3/2022 0:00,DL,5413,ICT,"Wichita, KS",KS,62,MSP,"Minneapolis, MN",MN,63,1251,1304,1439,1509,0,0,545
1/3/2022 0:00,F9,2199,ICT,"Wichita, KS",KS,62,LAS,"Las Vegas, NV",NV,85,2319,2319,4,4,0,0,986
1/3/2022 0:00,G4,1181,ICT,"Wichita, KS",KS,62,AZA,"Phoenix, AZ",AZ,81,957,1012,1120,1126,0,0,855
