FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2978,IDA,"Idaho Falls, ID",ID,83,PHX,"Phoenix, AZ",AZ,81,1709,1736,1923,1926,0,0,695
1/1/2022 0:00,AA,3018,IDA,"Idaho Falls, ID",ID,83,DFW,"Dallas/Fort Worth, TX",TX,74,1314,1504,1714,1927,0,0,1095
1/1/2022 0:00,AA,3049,IDA,"Idaho Falls, ID",ID,83,DFW,"Dallas/Fort Worth, TX",TX,74,725,716,1125,1133,0,0,1095
1/1/2022 0:00,AS,2020,IDA,"Idaho Falls, ID",ID,83,SEA,"Seattle, WA",WA,93,900,914,1020,1038,0,0,566
1/1/2022 0:00,DL,3559,IDA,"Idaho Falls, ID",ID,83,SLC,"Salt Lake City, UT",UT,87,715,715,837,816,0,0,188
1/1/2022 0:00,DL,4099,IDA,"Idaho Falls, ID",ID,83,SLC,"Salt Lake City, UT",UT,87,1500,1458,1611,1600,0,0,188
1/1/2022 0:00,G4,1351,IDA,"Idaho Falls, ID",ID,83,AZA,"Phoenix, AZ",AZ,81,1122,1139,1320,1322,0,0,704
1/1/2022 0:00,UA,4687,IDA,"Idaho Falls, ID",ID,83,DEN,"Denver, CO",CO,82,710,1421,901,1614,0,0,458
1/1/2022 0:00,UA,5917,IDA,"Idaho Falls, ID",ID,83,DEN,"Denver, CO",CO,82,1800,,1940,,1,0,458
1/1/2022 0:00,UA,5929,IDA,"Idaho Falls, ID",ID,83,DEN,"Denver, CO",CO,82,1430,,1615,,1,0,458
1/2/2022 0:00,AA,2978,IDA,"Idaho Falls, ID",ID,83,PHX,"Phoenix, AZ",AZ,81,1709,1704,1923,1859,0,0,695
1/2/2022 0:00,AA,3018,IDA,"Idaho Falls, ID",ID,83,DFW,"Dallas/Fort Worth, TX",TX,74,1314,,1714,,1,0,1095
1/2/2022 0:00,AA,3049,IDA,"Idaho Falls, ID",ID,83,DFW,"Dallas/Fort Worth, TX",TX,74,725,719,1125,1208,0,0,1095
1/2/2022 0:00,AS,2020,IDA,"Idaho Falls, ID",ID,83,SEA,"Seattle, WA",WA,93,900,901,1020,1047,0,0,566
1/2/2022 0:00,DL,3559,IDA,"Idaho Falls, ID",ID,83,SLC,"Salt Lake City, UT",UT,87,610,609,724,721,0,0,188
1/2/2022 0:00,DL,3668,IDA,"Idaho Falls, ID",ID,83,SLC,"Salt Lake City, UT",UT,87,1151,1141,1305,1242,0,0,188
1/2/2022 0:00,DL,3689,IDA,"Idaho Falls, ID",ID,83,SLC,"Salt Lake City, UT",UT,87,1854,1923,2010,2022,0,0,188
