FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,6115,ISP,"Islip, NY",NY,22,PHL,"Philadelphia, PA",PA,23,723,715,847,830,0,0,130
1/1/2022 0:00,F9,1093,ISP,"Islip, NY",NY,22,MCO,"Orlando, FL",FL,33,1802,1821,2110,2111,0,0,971
1/1/2022 0:00,F9,1095,ISP,"Islip, NY",NY,22,MCO,"Orlando, FL",FL,33,600,,907,,1,0,971
1/1/2022 0:00,F9,1501,ISP,"Islip, NY",NY,22,ATL,"Atlanta, GA",GA,34,1907,1936,2157,2224,0,0,795
1/1/2022 0:00,F9,2519,ISP,"Islip, NY",NY,22,TPA,"Tampa, FL",FL,33,1835,1915,2149,2316,0,0,1034
1/1/2022 0:00,F9,2521,ISP,"Islip, NY",NY,22,TPA,"Tampa, FL",FL,33,1004,1026,1315,1312,0,0,1034
1/1/2022 0:00,F9,2867,ISP,"Islip, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,2052,2050,1,2334,0,0,1052
1/1/2022 0:00,F9,2869,ISP,"Islip, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1118,1130,1424,1424,0,0,1052
1/1/2022 0:00,F9,927,ISP,"Islip, NY",NY,22,RSW,"Fort Myers, FL",FL,33,1226,1301,1547,1612,0,0,1101
1/1/2022 0:00,WN,1165,ISP,"Islip, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,1510,1523,1815,1815,0,0,1092
1/1/2022 0:00,WN,1854,ISP,"Islip, NY",NY,22,BWI,"Baltimore, MD",MD,35,1650,1707,1805,1817,0,0,220
1/1/2022 0:00,WN,2583,ISP,"Islip, NY",NY,22,MCO,"Orlando, FL",FL,33,515,509,815,751,0,0,971
1/1/2022 0:00,WN,2707,ISP,"Islip, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1855,1858,2150,2200,0,0,1052
1/1/2022 0:00,WN,2762,ISP,"Islip, NY",NY,22,BNA,"Nashville, TN",TN,54,1730,1752,1900,1933,0,0,803
1/1/2022 0:00,WN,3147,ISP,"Islip, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,610,607,910,853,0,0,1052
1/1/2022 0:00,WN,3210,ISP,"Islip, NY",NY,22,MCO,"Orlando, FL",FL,33,1155,1311,1445,1547,0,0,971
1/1/2022 0:00,WN,3463,ISP,"Islip, NY",NY,22,BWI,"Baltimore, MD",MD,35,535,533,700,640,0,0,220
1/1/2022 0:00,WN,3601,ISP,"Islip, NY",NY,22,BWI,"Baltimore, MD",MD,35,940,933,1100,1051,0,0,220
1/1/2022 0:00,WN,3723,ISP,"Islip, NY",NY,22,TPA,"Tampa, FL",FL,33,1220,1322,1525,1619,0,0,1034
1/1/2022 0:00,WN,673,ISP,"Islip, NY",NY,22,MCO,"Orlando, FL",FL,33,1805,2001,2055,2249,0,0,971
1/2/2022 0:00,AA,6115,ISP,"Islip, NY",NY,22,PHL,"Philadelphia, PA",PA,23,723,732,847,857,0,0,130
1/2/2022 0:00,AA,6201,ISP,"Islip, NY",NY,22,PHL,"Philadelphia, PA",PA,23,1502,1500,1614,1615,0,0,130
1/2/2022 0:00,F9,1093,ISP,"Islip, NY",NY,22,MCO,"Orlando, FL",FL,33,1717,1739,2024,2034,0,0,971
1/2/2022 0:00,F9,1095,ISP,"Islip, NY",NY,22,MCO,"Orlando, FL",FL,33,600,,907,,1,0,971
1/2/2022 0:00,F9,1501,ISP,"Islip, NY",NY,22,ATL,"Atlanta, GA",GA,34,1907,2035,2157,2350,0,0,795
1/2/2022 0:00,F9,2519,ISP,"Islip, NY",NY,22,TPA,"Tampa, FL",FL,33,1835,,2149,,1,0,1034
1/2/2022 0:00,F9,2521,ISP,"Islip, NY",NY,22,TPA,"Tampa, FL",FL,33,1004,1006,1315,1310,0,0,1034
1/2/2022 0:00,F9,2867,ISP,"Islip, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,2052,2046,1,2346,0,0,1052
1/2/2022 0:00,F9,2869,ISP,"Islip, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1118,,1424,,1,0,1052
1/2/2022 0:00,F9,927,ISP,"Islip, NY",NY,22,RSW,"Fort Myers, FL",FL,33,1138,1212,1503,1514,0,0,1101
1/2/2022 0:00,WN,1177,ISP,"Islip, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,615,,915,,1,0,1052
1/2/2022 0:00,WN,1180,ISP,"Islip, NY",NY,22,BWI,"Baltimore, MD",MD,35,1025,1021,1145,1131,0,0,220
