FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,HA,101,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,600,,652,,1,0,216
1/1/2022 0:00,HA,119,ITO,"Hilo, HI",HI,2,OGG,"Kahului, HI",HI,2,755,801,835,838,0,0,121
1/1/2022 0:00,HA,121,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,705,702,757,754,0,0,216
1/1/2022 0:00,HA,141,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,805,,900,,1,0,216
1/1/2022 0:00,HA,151,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,850,,945,,1,0,216
1/1/2022 0:00,HA,181,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1005,1005,1059,1105,0,0,216
1/1/2022 0:00,HA,211,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1130,1130,1224,1252,0,0,216
1/1/2022 0:00,HA,261,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1310,1355,1405,1454,0,0,216
1/1/2022 0:00,HA,291,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1430,1711,1526,1809,0,0,216
1/1/2022 0:00,HA,331,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1615,1731,1709,1850,0,0,216
1/1/2022 0:00,HA,351,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1725,2145,1819,2242,0,0,216
1/1/2022 0:00,HA,391,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1825,2119,1919,2210,0,0,216
1/1/2022 0:00,UA,1706,ITO,"Hilo, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2359,2357,712,707,0,0,2449
1/1/2022 0:00,WN,1847,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1010,1006,1100,1109,0,0,216
1/1/2022 0:00,WN,1852,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1445,1615,1535,1750,0,0,216
1/1/2022 0:00,WN,2326,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1830,1905,1920,2010,0,0,216
1/1/2022 0:00,WN,858,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,620,620,710,713,0,0,216
1/2/2022 0:00,HA,121,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,705,819,757,911,0,0,216
1/2/2022 0:00,HA,141,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,805,758,900,849,0,0,216
1/2/2022 0:00,HA,151,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,850,849,945,938,0,0,216
1/2/2022 0:00,HA,181,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1005,1108,1059,1436,0,1,216
1/2/2022 0:00,HA,211,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1130,1243,1224,1337,0,0,216
1/2/2022 0:00,HA,261,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1310,1645,1405,1740,0,0,216
1/2/2022 0:00,HA,291,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1430,1640,1526,1738,0,0,216
1/2/2022 0:00,HA,331,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1615,,1709,,1,0,216
1/2/2022 0:00,HA,351,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1725,1842,1819,1931,0,0,216
1/2/2022 0:00,HA,391,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1825,1902,1919,2004,0,0,216
1/2/2022 0:00,HA,531,ITO,"Hilo, HI",HI,2,HNL,"Honolulu, HI",HI,2,1925,2116,2017,2208,0,0,216
1/2/2022 0:00,UA,1706,ITO,"Hilo, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2359,4,712,721,0,0,2449
