FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5055,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1642,1634,1805,1817,0,0,582
1/1/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,717,758,915,932,0,0,484
1/2/2022 0:00,UA,5055,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1645,1648,1808,1812,0,0,582
1/2/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,717,,915,,1,0,484
1/3/2022 0:00,UA,5055,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1642,,1805,,1,0,582
1/3/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,717,1118,915,1308,0,0,484
1/4/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,,1523,,1,0,582
1/4/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,650,858,839,0,0,484
1/5/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,,1523,,1,0,582
1/5/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,1250,858,1433,0,0,484
1/6/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,,1523,,1,0,582
1/6/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,659,858,859,0,0,484
1/7/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,1442,1523,1619,0,0,582
1/7/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,800,858,954,0,0,484
1/8/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,1352,1523,1449,0,0,582
1/8/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,652,858,824,0,0,484
1/9/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,1517,1523,1606,0,0,582
1/9/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,,858,,1,0,484
1/10/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,1358,1523,1448,0,0,582
1/10/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,657,858,855,0,0,484
1/11/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,1354,1523,1438,0,0,582
1/11/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,649,858,824,0,0,484
1/12/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,1350,1523,1445,0,0,582
1/12/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,649,858,832,0,0,484
1/13/2022 0:00,UA,5046,JLN,"Joplin, MO",MO,64,DEN,"Denver, CO",CO,82,1400,1351,1523,1440,0,0,582
1/13/2022 0:00,UA,5074,JLN,"Joplin, MO",MO,64,ORD,"Chicago, IL",IL,41,700,652,858,837,0,0,484
