FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,230,KOA,"Kona, HI",HI,2,DFW,"Dallas/Fort Worth, TX",TX,74,1900,1920,605,615,0,0,3724
1/1/2022 0:00,AA,58,KOA,"Kona, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1330,1318,2048,2033,0,0,2504
1/1/2022 0:00,AA,664,KOA,"Kona, HI",HI,2,PHX,"Phoenix, AZ",AZ,81,2245,1637,720,136,0,0,2860
1/1/2022 0:00,AS,196,KOA,"Kona, HI",HI,2,SAN,"San Diego, CA",CA,91,1620,,2346,,1,0,2556
1/1/2022 0:00,AS,802,KOA,"Kona, HI",HI,2,PDX,"Portland, OR",OR,92,1654,1756,32,114,0,0,2607
1/1/2022 0:00,AS,846,KOA,"Kona, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1515,1646,2224,2359,0,0,2504
1/1/2022 0:00,AS,854,KOA,"Kona, HI",HI,2,SEA,"Seattle, WA",WA,93,2359,55,752,849,0,0,2688
1/1/2022 0:00,AS,856,KOA,"Kona, HI",HI,2,SJC,"San Jose, CA",CA,91,1215,1211,1927,1917,0,0,2384
1/1/2022 0:00,AS,873,KOA,"Kona, HI",HI,2,ANC,"Anchorage, AK",AK,1,2059,2255,415,634,0,0,2874
1/1/2022 0:00,AS,880,KOA,"Kona, HI",HI,2,SEA,"Seattle, WA",WA,93,2229,21,623,805,0,0,2688
1/1/2022 0:00,AS,988,KOA,"Kona, HI",HI,2,SEA,"Seattle, WA",WA,93,1345,1333,2142,2126,0,0,2688
1/1/2022 0:00,DL,485,KOA,"Kona, HI",HI,2,SEA,"Seattle, WA",WA,93,2110,2145,500,510,0,0,2688
1/1/2022 0:00,DL,523,KOA,"Kona, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2225,2252,533,608,0,0,2504
1/1/2022 0:00,HA,107,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,600,,646,,1,0,163
1/1/2022 0:00,HA,127,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,701,,747,,1,0,163
1/1/2022 0:00,HA,137,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,800,832,848,916,0,0,163
1/1/2022 0:00,HA,139,KOA,"Kona, HI",HI,2,OGG,"Kahului, HI",HI,2,905,908,942,944,0,0,84
1/1/2022 0:00,HA,157,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,842,,930,,1,0,163
1/1/2022 0:00,HA,177,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,945,1025,1032,1143,0,0,163
1/1/2022 0:00,HA,197,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,1055,1129,1140,1305,0,0,163
1/1/2022 0:00,HA,217,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,1137,,1225,,1,0,163
1/1/2022 0:00,HA,239,KOA,"Kona, HI",HI,2,OGG,"Kahului, HI",HI,2,1155,1215,1230,1254,0,0,84
1/1/2022 0:00,HA,257,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,1250,,1337,,1,0,163
1/1/2022 0:00,HA,297,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,1430,1550,1521,1706,0,0,163
1/1/2022 0:00,HA,327,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,1520,1728,1610,1818,0,0,163
1/1/2022 0:00,HA,337,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,1600,1734,1648,1846,0,0,163
1/1/2022 0:00,HA,339,KOA,"Kona, HI",HI,2,OGG,"Kahului, HI",HI,2,1509,1555,1540,1633,0,0,84
1/1/2022 0:00,HA,377,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,1745,2200,1833,2245,0,0,163
1/1/2022 0:00,HA,527,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,1900,2038,1946,2124,0,0,163
1/1/2022 0:00,HA,529,KOA,"Kona, HI",HI,2,LIH,"Lihue, HI",HI,2,1701,1822,1758,1959,0,0,263
1/1/2022 0:00,HA,547,KOA,"Kona, HI",HI,2,HNL,"Honolulu, HI",HI,2,2020,7,2105,49,0,0,163
1/1/2022 0:00,HA,62,KOA,"Kona, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1625,1707,2350,8,0,0,2504
1/1/2022 0:00,UA,1147,KOA,"Kona, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2245,2241,609,611,0,0,2504
1/1/2022 0:00,UA,1205,KOA,"Kona, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1432,1428,2156,2158,0,0,2504
1/1/2022 0:00,UA,1724,KOA,"Kona, HI",HI,2,SFO,"San Francisco, CA",CA,91,2325,2332,632,647,0,0,2367
1/1/2022 0:00,UA,1731,KOA,"Kona, HI",HI,2,DEN,"Denver, CO",CO,82,2120,2141,649,708,0,0,3329
1/1/2022 0:00,UA,2339,KOA,"Kona, HI",HI,2,SFO,"San Francisco, CA",CA,91,1000,956,1711,1704,0,0,2367
1/1/2022 0:00,UA,435,KOA,"Kona, HI",HI,2,SFO,"San Francisco, CA",CA,91,1605,1603,2316,2311,0,0,2367
1/1/2022 0:00,UA,643,KOA,"Kona, HI",HI,2,SFO,"San Francisco, CA",CA,91,1415,1411,2122,2124,0,0,2367
