FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4082,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,1610,,1621,,1,0,179
1/1/2022 0:00,AA,4425,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,1148,1219,1201,1314,0,0,179
1/1/2022 0:00,AA,5640,LAN,"Lansing, MI",MI,43,DCA,"Washington, DC",VA,38,1541,1334,1715,1623,0,0,479
1/1/2022 0:00,DL,4755,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1825,,1917,,1,0,74
1/1/2022 0:00,DL,5321,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1045,1040,1141,1140,0,0,74
1/1/2022 0:00,DL,5439,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,625,624,728,701,0,0,74
1/1/2022 0:00,UA,5323,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,735,728,804,744,0,0,179
1/2/2022 0:00,AA,4082,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,1410,1443,1423,1518,0,0,179
1/2/2022 0:00,AA,4425,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,637,,702,,1,0,179
1/2/2022 0:00,AA,5640,LAN,"Lansing, MI",MI,43,DCA,"Washington, DC",VA,38,1625,1717,1759,1856,0,0,479
1/2/2022 0:00,DL,4755,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1825,1820,1918,1915,0,0,74
1/2/2022 0:00,DL,5321,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1201,1436,1254,1527,0,0,74
1/2/2022 0:00,DL,5439,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,521,737,620,825,0,0,74
1/2/2022 0:00,UA,5323,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,610,,635,,1,0,179
1/3/2022 0:00,AA,4082,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,1410,1413,1423,1415,0,0,179
1/3/2022 0:00,AA,4425,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,637,643,702,715,0,0,179
1/3/2022 0:00,AA,5640,LAN,"Lansing, MI",MI,43,DCA,"Washington, DC",VA,38,1531,,1705,,1,0,479
1/3/2022 0:00,DL,4755,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1825,1820,1918,1901,0,0,74
1/3/2022 0:00,DL,5321,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1201,1250,1254,1330,0,0,74
1/3/2022 0:00,DL,5439,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,521,517,620,626,0,0,74
1/3/2022 0:00,UA,5323,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,610,611,635,632,0,0,179
1/4/2022 0:00,AA,4425,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,910,908,939,934,0,0,179
1/4/2022 0:00,AA,5640,LAN,"Lansing, MI",MI,43,DCA,"Washington, DC",VA,38,1544,1641,1720,1913,0,0,479
1/4/2022 0:00,DL,4755,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1825,1824,1918,1904,0,0,74
1/4/2022 0:00,DL,5321,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1201,1157,1254,1245,0,0,74
1/4/2022 0:00,DL,5439,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,521,514,620,606,0,0,74
1/5/2022 0:00,AA,4425,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,910,909,939,930,0,0,179
1/5/2022 0:00,AA,5640,LAN,"Lansing, MI",MI,43,DCA,"Washington, DC",VA,38,1544,1535,1720,1817,0,0,479
1/5/2022 0:00,DL,4755,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1805,1802,1901,1929,0,0,74
1/5/2022 0:00,DL,4815,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1425,1433,1518,1557,0,0,74
1/5/2022 0:00,DL,5321,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1025,1019,1128,1119,0,0,74
1/5/2022 0:00,DL,5439,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,523,518,630,557,0,0,74
1/6/2022 0:00,AA,4082,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,1755,1746,1809,1833,0,0,179
1/6/2022 0:00,AA,4425,LAN,"Lansing, MI",MI,43,ORD,"Chicago, IL",IL,41,640,703,706,745,0,0,179
1/6/2022 0:00,AA,5640,LAN,"Lansing, MI",MI,43,DCA,"Washington, DC",VA,38,1544,,1720,,1,0,479
1/6/2022 0:00,DL,4755,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1805,1842,1901,2015,0,0,74
1/6/2022 0:00,DL,4815,LAN,"Lansing, MI",MI,43,DTW,"Detroit, MI",MI,43,1425,1420,1518,1540,0,0,74
