FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5089,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,745,,850,,1,0,113
1/2/2022 0:00,UA,5081,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,1050,,1155,,1,0,113
1/2/2022 0:00,UA,5089,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,545,559,650,656,0,0,113
1/3/2022 0:00,UA,5081,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,1050,1040,1155,1147,0,0,113
1/3/2022 0:00,UA,5089,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,545,550,650,634,0,0,113
1/4/2022 0:00,UA,5089,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,545,626,650,659,0,0,113
1/5/2022 0:00,UA,5081,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,1115,,1220,,1,0,113
1/5/2022 0:00,UA,5089,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,545,545,650,648,0,0,113
1/6/2022 0:00,UA,5081,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,1115,,1220,,1,0,113
1/6/2022 0:00,UA,5089,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,545,,650,,1,0,113
1/7/2022 0:00,UA,5081,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,1115,,1220,,1,0,113
1/7/2022 0:00,UA,5089,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,545,,650,,1,0,113
1/8/2022 0:00,UA,5089,LAR,"Laramie, WY",WY,88,DEN,"Denver, CO",CO,82,545,600,650,658,0,0,113
