FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3628,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1654,1712,1755,1836,0,0,140
1/1/2022 0:00,AA,3777,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1025,1021,1130,1128,0,0,140
1/1/2022 0:00,AA,3984,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,2020,,2124,,1,0,140
1/2/2022 0:00,AA,3628,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1654,1750,1755,1852,0,0,140
1/2/2022 0:00,AA,3777,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1025,1045,1130,1148,0,0,140
1/2/2022 0:00,AA,3809,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,620,,724,,1,0,140
1/2/2022 0:00,AA,3984,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,2020,2111,2124,2212,0,0,140
1/3/2022 0:00,AA,3628,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1654,1720,1755,1808,0,0,140
1/3/2022 0:00,AA,3777,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1025,1015,1130,1104,0,0,140
1/3/2022 0:00,AA,3809,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,620,615,724,728,0,0,140
1/3/2022 0:00,AA,3984,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,2020,2006,2124,2104,0,0,140
1/4/2022 0:00,AA,3628,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1825,1820,1933,1913,0,0,140
1/4/2022 0:00,AA,3777,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1021,1029,1131,1117,0,0,140
1/4/2022 0:00,AA,3809,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,630,740,740,854,0,0,140
1/5/2022 0:00,AA,3628,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1825,1817,1933,1903,0,0,140
1/5/2022 0:00,AA,3777,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1021,1022,1131,1124,0,0,140
1/5/2022 0:00,AA,3809,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,630,626,740,725,0,0,140
1/6/2022 0:00,AA,3628,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1825,1815,1933,1935,0,0,140
1/6/2022 0:00,AA,3777,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1021,1014,1131,1109,0,0,140
1/6/2022 0:00,AA,3809,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,630,620,740,721,0,0,140
1/7/2022 0:00,AA,3628,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1825,1823,1933,1918,0,0,140
