FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4163,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1420,1412,1556,1538,0,0,351
1/1/2022 0:00,AA,4172,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1042,1048,1218,1214,0,0,351
1/1/2022 0:00,AA,4207,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1937,2104,2116,2237,0,0,351
1/1/2022 0:00,AA,5315,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,1534,1533,1846,1831,0,0,729
1/1/2022 0:00,AA,5711,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,701,650,1025,955,0,0,729
1/1/2022 0:00,DL,5070,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,700,656,942,928,0,0,503
1/1/2022 0:00,DL,5403,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,1300,1256,1543,1531,0,0,503
1/1/2022 0:00,UA,4356,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1156,1607,1314,1738,0,0,201
1/1/2022 0:00,UA,4881,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1605,1556,1723,1702,0,0,201
1/1/2022 0:00,UA,5810,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,730,807,849,910,0,0,201
1/2/2022 0:00,AA,4143,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,601,734,727,0,0,351
1/2/2022 0:00,AA,4163,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1420,1658,1554,1826,0,0,351
1/2/2022 0:00,AA,4172,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1042,1035,1218,1211,0,0,351
1/2/2022 0:00,AA,4207,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1937,2017,2116,2153,0,0,351
1/2/2022 0:00,AA,5315,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,1534,1538,1846,1844,0,0,729
1/2/2022 0:00,AA,5711,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,701,654,1025,1018,0,0,729
1/2/2022 0:00,DL,5070,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,700,657,943,933,0,0,503
1/2/2022 0:00,DL,5269,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,1722,1919,2012,2149,0,0,503
1/2/2022 0:00,DL,5403,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,1210,1206,1453,1437,0,0,503
1/2/2022 0:00,UA,4356,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1156,1157,1314,1326,0,0,201
1/2/2022 0:00,UA,4822,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,730,720,853,826,0,0,201
1/2/2022 0:00,UA,4881,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1605,1558,1723,1714,0,0,201
1/3/2022 0:00,AA,4143,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,602,734,748,0,0,351
1/3/2022 0:00,AA,4163,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1420,1429,1554,1603,0,0,351
1/3/2022 0:00,AA,4172,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1042,1039,1218,1204,0,0,351
1/3/2022 0:00,AA,4207,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1937,1937,2116,2116,0,0,351
1/3/2022 0:00,AA,5315,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,1534,2053,1846,2358,0,0,729
1/3/2022 0:00,AA,5711,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,701,659,1025,1018,0,0,729
1/3/2022 0:00,DL,5070,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,700,659,943,946,0,0,503
1/3/2022 0:00,DL,5269,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,1722,1718,2012,1946,0,0,503
1/3/2022 0:00,DL,5403,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,1210,1210,1453,1437,0,0,503
1/3/2022 0:00,UA,4356,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1156,1151,1314,1302,0,0,201
1/3/2022 0:00,UA,4822,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,730,1010,853,1115,0,0,201
1/3/2022 0:00,UA,4881,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1605,1621,1723,1740,0,0,201
1/4/2022 0:00,AA,3547,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1804,1831,1946,2000,0,0,351
1/4/2022 0:00,AA,3742,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,604,737,813,0,0,351
1/4/2022 0:00,AA,4163,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1352,1349,1532,1538,0,0,351
1/4/2022 0:00,AA,4172,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1052,1045,1231,1218,0,0,351
1/4/2022 0:00,AA,5315,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,1534,1544,1847,1851,0,0,729
1/4/2022 0:00,AA,5711,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,700,735,1022,1048,0,0,729
1/4/2022 0:00,DL,5070,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,700,,943,,1,0,503
1/4/2022 0:00,DL,5269,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,1722,1723,2012,2009,0,0,503
1/4/2022 0:00,UA,4356,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1211,1208,1329,1310,0,0,201
1/4/2022 0:00,UA,4822,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,715,708,838,836,0,0,201
1/4/2022 0:00,UA,4881,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1605,,1723,,1,0,201
1/5/2022 0:00,AA,3547,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1804,1804,1946,1931,0,0,351
1/5/2022 0:00,AA,3742,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,556,739,740,0,0,351
1/5/2022 0:00,AA,4163,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1352,1407,1532,1531,0,0,351
1/5/2022 0:00,AA,4172,LFT,"Lafayette, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1052,1111,1231,1229,0,0,351
1/5/2022 0:00,AA,5315,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,1534,1155,1847,1443,0,0,729
1/5/2022 0:00,AA,5711,LFT,"Lafayette, LA",LA,72,CLT,"Charlotte, NC",NC,36,700,657,1022,955,0,0,729
1/5/2022 0:00,DL,4653,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,1400,1359,1645,1633,0,0,503
1/5/2022 0:00,DL,5070,LFT,"Lafayette, LA",LA,72,ATL,"Atlanta, GA",GA,34,700,700,940,932,0,0,503
1/5/2022 0:00,UA,4355,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,945,936,1108,1055,0,0,201
1/5/2022 0:00,UA,4356,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1211,1211,1329,1312,0,0,201
1/5/2022 0:00,UA,4822,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,715,749,838,906,0,0,201
1/5/2022 0:00,UA,4881,LFT,"Lafayette, LA",LA,72,IAH,"Houston, TX",TX,74,1605,1559,1723,1650,0,0,201
