FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3238,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1424,1425,1553,1611,0,0,304
1/1/2022 0:00,AA,3589,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,800,759,932,933,0,0,304
1/1/2022 0:00,AA,3642,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1219,1213,1344,1357,0,0,304
1/1/2022 0:00,AA,3817,LIT,"Little Rock, AR",AR,71,ORD,"Chicago, IL",IL,41,1234,1238,1430,1421,0,0,552
1/1/2022 0:00,AA,3850,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1017,1015,1144,1157,0,0,304
1/1/2022 0:00,AA,4243,LIT,"Little Rock, AR",AR,71,MIA,"Miami, FL",FL,33,730,920,1112,1236,0,0,941
1/1/2022 0:00,AA,4458,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1824,1825,1955,2035,0,0,304
1/1/2022 0:00,AA,5159,LIT,"Little Rock, AR",AR,71,CLT,"Charlotte, NC",NC,36,700,649,1009,1004,0,0,640
1/1/2022 0:00,AA,5222,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,2009,1958,2142,2208,0,0,304
1/1/2022 0:00,AA,5356,LIT,"Little Rock, AR",AR,71,CLT,"Charlotte, NC",NC,36,1626,1627,1925,1929,0,0,640
1/1/2022 0:00,AA,5592,LIT,"Little Rock, AR",AR,71,CLT,"Charlotte, NC",NC,36,1245,1238,1546,1534,0,0,640
1/1/2022 0:00,DL,2073,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,627,621,859,852,0,0,453
1/1/2022 0:00,DL,2286,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,1705,1718,1940,1936,0,0,453
1/1/2022 0:00,DL,2365,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,1145,1847,1411,2108,0,0,453
1/1/2022 0:00,UA,4255,LIT,"Little Rock, AR",AR,71,IAH,"Houston, TX",TX,74,1340,1751,1527,1913,0,0,374
1/1/2022 0:00,UA,4364,LIT,"Little Rock, AR",AR,71,DEN,"Denver, CO",CO,82,1300,1439,1436,1620,0,0,771
1/1/2022 0:00,UA,4484,LIT,"Little Rock, AR",AR,71,ORD,"Chicago, IL",IL,41,1512,,1710,,1,0,552
1/1/2022 0:00,UA,4515,LIT,"Little Rock, AR",AR,71,ORD,"Chicago, IL",IL,41,715,829,915,1005,0,0,552
1/1/2022 0:00,UA,4831,LIT,"Little Rock, AR",AR,71,DEN,"Denver, CO",CO,82,850,854,1026,1142,0,0,771
1/1/2022 0:00,UA,4836,LIT,"Little Rock, AR",AR,71,DEN,"Denver, CO",CO,82,1630,,1806,,1,0,771
1/1/2022 0:00,UA,4837,LIT,"Little Rock, AR",AR,71,IAH,"Houston, TX",TX,74,700,652,849,830,0,0,374
1/1/2022 0:00,UA,4888,LIT,"Little Rock, AR",AR,71,IAH,"Houston, TX",TX,74,1710,1804,1857,1928,0,0,374
1/1/2022 0:00,WN,1584,LIT,"Little Rock, AR",AR,71,DAL,"Dallas, TX",TX,74,1835,1855,1950,2007,0,0,296
1/1/2022 0:00,WN,2800,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,1445,1450,1710,1704,0,0,453
1/1/2022 0:00,WN,3045,LIT,"Little Rock, AR",AR,71,LAS,"Las Vegas, NV",NV,85,1255,1325,1425,1455,0,0,1294
1/1/2022 0:00,WN,3289,LIT,"Little Rock, AR",AR,71,PHX,"Phoenix, AZ",AZ,81,1055,1053,1315,1309,0,0,1136
1/1/2022 0:00,WN,3290,LIT,"Little Rock, AR",AR,71,STL,"St. Louis, MO",MO,64,600,600,715,717,0,0,296
1/1/2022 0:00,WN,999,LIT,"Little Rock, AR",AR,71,DAL,"Dallas, TX",TX,74,715,712,835,831,0,0,296
1/2/2022 0:00,AA,3145,LIT,"Little Rock, AR",AR,71,ORD,"Chicago, IL",IL,41,1251,,1449,,1,0,552
1/2/2022 0:00,AA,3238,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1424,,1553,,1,0,304
1/2/2022 0:00,AA,3589,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,800,804,932,1008,0,0,304
1/2/2022 0:00,AA,3630,LIT,"Little Rock, AR",AR,71,DCA,"Washington, DC",VA,38,626,622,936,917,0,0,888
1/2/2022 0:00,AA,3642,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1219,1209,1344,1347,0,0,304
1/2/2022 0:00,AA,3656,LIT,"Little Rock, AR",AR,71,ORD,"Chicago, IL",IL,41,730,731,929,938,0,0,552
1/2/2022 0:00,AA,3794,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,600,557,726,731,0,0,304
1/2/2022 0:00,AA,3850,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1017,1015,1144,1205,0,0,304
1/2/2022 0:00,AA,4175,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1623,1830,1752,1953,0,0,304
1/2/2022 0:00,AA,4458,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1824,1901,1955,2020,0,0,304
1/2/2022 0:00,AA,5159,LIT,"Little Rock, AR",AR,71,CLT,"Charlotte, NC",NC,36,700,659,1009,958,0,0,640
1/2/2022 0:00,AA,5222,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,2009,2048,2142,2227,0,0,304
1/2/2022 0:00,AA,5356,LIT,"Little Rock, AR",AR,71,CLT,"Charlotte, NC",NC,36,1626,1633,1925,1958,0,0,640
1/2/2022 0:00,AA,5592,LIT,"Little Rock, AR",AR,71,CLT,"Charlotte, NC",NC,36,1245,1356,1546,1700,0,0,640
1/2/2022 0:00,DL,1357,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,730,723,1003,1011,0,0,453
1/2/2022 0:00,DL,2073,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,530,530,801,759,0,0,453
1/2/2022 0:00,DL,2365,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,1028,1021,1252,1246,0,0,453
1/2/2022 0:00,DL,2388,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,1248,1245,1517,1513,0,0,453
1/2/2022 0:00,DL,2624,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,1730,1747,2006,2020,0,0,453
1/2/2022 0:00,F9,1114,LIT,"Little Rock, AR",AR,71,MCO,"Orlando, FL",FL,33,1027,1112,1330,1428,0,0,776
1/2/2022 0:00,F9,1999,LIT,"Little Rock, AR",AR,71,LAS,"Las Vegas, NV",NV,85,1235,1236,1405,1359,0,0,1294
1/2/2022 0:00,F9,431,LIT,"Little Rock, AR",AR,71,DEN,"Denver, CO",CO,82,1456,1605,1622,1740,0,0,771
1/2/2022 0:00,G4,2254,LIT,"Little Rock, AR",AR,71,SFB,"Sanford, FL",FL,33,1438,1453,1732,1805,0,0,765
1/2/2022 0:00,UA,4255,LIT,"Little Rock, AR",AR,71,IAH,"Houston, TX",TX,74,1340,1501,1527,1658,0,0,374
1/2/2022 0:00,UA,4364,LIT,"Little Rock, AR",AR,71,DEN,"Denver, CO",CO,82,1300,1253,1436,1406,0,0,771
1/2/2022 0:00,UA,4484,LIT,"Little Rock, AR",AR,71,ORD,"Chicago, IL",IL,41,1512,1559,1710,1757,0,0,552
1/2/2022 0:00,UA,4515,LIT,"Little Rock, AR",AR,71,ORD,"Chicago, IL",IL,41,715,,915,,1,0,552
1/2/2022 0:00,UA,4831,LIT,"Little Rock, AR",AR,71,DEN,"Denver, CO",CO,82,850,,1026,,1,0,771
