FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4246,LNK,"Lincoln, NE",NE,65,MSP,"Minneapolis, MN",MN,63,1112,,1238,,1,0,331
1/1/2022 0:00,DL,4313,LNK,"Lincoln, NE",NE,65,MSP,"Minneapolis, MN",MN,63,1729,1715,1905,1853,0,0,331
1/1/2022 0:00,UA,3743,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,1123,,1316,,1,0,466
1/1/2022 0:00,UA,4286,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,1350,1702,1447,1748,0,0,423
1/1/2022 0:00,UA,4353,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,600,,653,,1,0,423
1/1/2022 0:00,UA,4878,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,915,918,1008,1124,0,0,423
1/1/2022 0:00,UA,5266,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,800,,959,,1,0,466
1/2/2022 0:00,DL,4246,LNK,"Lincoln, NE",NE,65,MSP,"Minneapolis, MN",MN,63,1112,1102,1239,1212,0,0,331
1/2/2022 0:00,DL,4313,LNK,"Lincoln, NE",NE,65,MSP,"Minneapolis, MN",MN,63,1729,,1906,,1,0,331
1/2/2022 0:00,UA,3743,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,1123,1107,1316,1257,0,0,466
1/2/2022 0:00,UA,3904,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,1515,1528,1708,1716,0,0,466
1/2/2022 0:00,UA,4286,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,1350,1514,1447,1551,0,0,423
1/2/2022 0:00,UA,4353,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,600,,653,,1,0,423
1/2/2022 0:00,UA,4878,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,915,,1008,,1,0,423
1/2/2022 0:00,UA,5266,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,800,,959,,1,0,466
1/3/2022 0:00,DL,4246,LNK,"Lincoln, NE",NE,65,MSP,"Minneapolis, MN",MN,63,1112,1109,1239,1221,0,0,331
1/3/2022 0:00,DL,4313,LNK,"Lincoln, NE",NE,65,MSP,"Minneapolis, MN",MN,63,1729,,1906,,1,0,331
1/3/2022 0:00,UA,3743,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,1123,1148,1316,1324,0,0,466
1/3/2022 0:00,UA,3904,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,1515,1519,1708,1659,0,0,466
1/3/2022 0:00,UA,4004,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,800,924,959,1107,0,0,466
1/3/2022 0:00,UA,4286,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,1350,1450,1447,1536,0,0,423
1/3/2022 0:00,UA,4353,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,600,933,653,1015,0,0,423
1/3/2022 0:00,UA,4878,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,915,1050,1008,1127,0,0,423
1/4/2022 0:00,DL,4246,LNK,"Lincoln, NE",NE,65,MSP,"Minneapolis, MN",MN,63,1112,,1239,,1,0,331
1/4/2022 0:00,DL,4313,LNK,"Lincoln, NE",NE,65,MSP,"Minneapolis, MN",MN,63,1729,1721,1906,1842,0,0,331
1/4/2022 0:00,UA,3743,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,1300,1305,1453,1441,0,0,466
1/4/2022 0:00,UA,4004,LNK,"Lincoln, NE",NE,65,ORD,"Chicago, IL",IL,41,800,802,959,946,0,0,466
1/4/2022 0:00,UA,4286,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,1400,,1457,,1,0,423
1/4/2022 0:00,UA,4353,LNK,"Lincoln, NE",NE,65,DEN,"Denver, CO",CO,82,600,557,653,642,0,0,423
