FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3543,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1643,1701,1817,1833,0,0,396
1/1/2022 0:00,AA,3649,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1053,1045,1229,1211,0,0,396
1/1/2022 0:00,AA,4206,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1431,1421,1607,1604,0,0,396
1/1/2022 0:00,AA,4421,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1958,2030,2135,2204,0,0,396
1/1/2022 0:00,UA,4890,LRD,"Laredo, TX",TX,74,IAH,"Houston, TX",TX,74,720,,848,,1,0,301
1/1/2022 0:00,UA,4974,LRD,"Laredo, TX",TX,74,IAH,"Houston, TX",TX,74,1403,,1531,,1,0,301
1/2/2022 0:00,AA,3543,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1643,1638,1817,1818,0,0,396
1/2/2022 0:00,AA,3613,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,716,711,850,845,0,0,396
1/2/2022 0:00,AA,3649,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1053,1046,1229,1227,0,0,396
1/2/2022 0:00,AA,4206,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1431,1429,1607,1609,0,0,396
1/2/2022 0:00,AA,4421,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1958,2201,2135,2323,0,0,396
1/2/2022 0:00,G4,234,LRD,"Laredo, TX",TX,74,LAS,"Las Vegas, NV",NV,85,1201,1201,1252,1252,0,0,1092
1/2/2022 0:00,UA,4890,LRD,"Laredo, TX",TX,74,IAH,"Houston, TX",TX,74,720,711,848,827,0,0,301
1/2/2022 0:00,UA,4974,LRD,"Laredo, TX",TX,74,IAH,"Houston, TX",TX,74,1403,,1531,,1,0,301
1/3/2022 0:00,AA,3543,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1643,1658,1817,1817,0,0,396
1/3/2022 0:00,AA,3613,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,716,711,850,901,0,0,396
1/3/2022 0:00,AA,3649,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1053,1048,1229,1245,0,0,396
1/3/2022 0:00,AA,4206,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1431,1427,1607,1617,0,0,396
1/3/2022 0:00,AA,4421,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1958,1948,2135,2120,0,0,396
1/3/2022 0:00,UA,4890,LRD,"Laredo, TX",TX,74,IAH,"Houston, TX",TX,74,720,,848,,1,0,301
1/3/2022 0:00,UA,4974,LRD,"Laredo, TX",TX,74,IAH,"Houston, TX",TX,74,1403,1357,1531,1507,0,0,301
1/4/2022 0:00,AA,3649,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1109,1059,1244,1216,0,0,396
1/4/2022 0:00,AA,3699,LRD,"Laredo, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,600,555,736,727,0,0,396
