FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2967,MDT,"Harrisburg, PA",PA,23,ORD,"Chicago, IL",IL,41,1020,,1141,,1,0,594
1/1/2022 0:00,AA,4085,MDT,"Harrisburg, PA",PA,23,ORD,"Chicago, IL",IL,41,1329,1324,1448,1434,0,0,594
1/1/2022 0:00,AA,4613,MDT,"Harrisburg, PA",PA,23,CLT,"Charlotte, NC",NC,36,1338,1345,1525,1528,0,0,413
1/1/2022 0:00,AA,4910,MDT,"Harrisburg, PA",PA,23,CLT,"Charlotte, NC",NC,36,609,602,806,749,0,0,413
1/1/2022 0:00,AA,5241,MDT,"Harrisburg, PA",PA,23,CLT,"Charlotte, NC",NC,36,1723,1725,1903,1909,0,0,413
1/1/2022 0:00,AA,6012,MDT,"Harrisburg, PA",PA,23,PHL,"Philadelphia, PA",PA,23,720,712,815,754,0,0,84
1/1/2022 0:00,AA,6015,MDT,"Harrisburg, PA",PA,23,CLT,"Charlotte, NC",NC,36,818,809,1028,1017,0,0,413
1/1/2022 0:00,AA,6098,MDT,"Harrisburg, PA",PA,23,PHL,"Philadelphia, PA",PA,23,826,814,920,901,0,0,84
1/1/2022 0:00,AA,6154,MDT,"Harrisburg, PA",PA,23,PHL,"Philadelphia, PA",PA,23,1822,1931,1908,2018,0,0,84
1/1/2022 0:00,AA,977,MDT,"Harrisburg, PA",PA,23,DFW,"Dallas/Fort Worth, TX",TX,74,606,604,905,857,0,0,1231
1/1/2022 0:00,DL,4966,MDT,"Harrisburg, PA",PA,23,DTW,"Detroit, MI",MI,43,950,945,1131,1117,0,0,371
1/1/2022 0:00,DL,5146,MDT,"Harrisburg, PA",PA,23,ATL,"Atlanta, GA",GA,34,635,625,904,826,0,0,620
1/1/2022 0:00,DL,5407,MDT,"Harrisburg, PA",PA,23,ATL,"Atlanta, GA",GA,34,1300,1257,1517,1451,0,0,620
1/1/2022 0:00,G4,2240,MDT,"Harrisburg, PA",PA,23,SFB,"Sanford, FL",FL,33,1929,1929,2149,2146,0,0,827
1/1/2022 0:00,G4,2600,MDT,"Harrisburg, PA",PA,23,SRQ,"Sarasota/Bradenton, FL",FL,33,1338,,1609,,1,0,942
1/1/2022 0:00,G4,923,MDT,"Harrisburg, PA",PA,23,FLL,"Fort Lauderdale, FL",FL,33,2102,,2331,,1,0,993
1/1/2022 0:00,UA,3741,MDT,"Harrisburg, PA",PA,23,ORD,"Chicago, IL",IL,41,1041,,1205,,1,0,594
1/1/2022 0:00,UA,3974,MDT,"Harrisburg, PA",PA,23,IAD,"Washington, DC",VA,38,1448,1442,1543,1534,0,0,94
1/1/2022 0:00,UA,4418,MDT,"Harrisburg, PA",PA,23,ORD,"Chicago, IL",IL,41,1729,,1853,,1,0,594
1/2/2022 0:00,AA,2967,MDT,"Harrisburg, PA",PA,23,ORD,"Chicago, IL",IL,41,601,,730,,1,0,594
1/2/2022 0:00,AA,4085,MDT,"Harrisburg, PA",PA,23,ORD,"Chicago, IL",IL,41,1329,1416,1448,1531,0,0,594
1/2/2022 0:00,AA,4613,MDT,"Harrisburg, PA",PA,23,CLT,"Charlotte, NC",NC,36,1338,1336,1525,1521,0,0,413
1/2/2022 0:00,AA,4910,MDT,"Harrisburg, PA",PA,23,CLT,"Charlotte, NC",NC,36,609,609,806,804,0,0,413
1/2/2022 0:00,AA,5241,MDT,"Harrisburg, PA",PA,23,CLT,"Charlotte, NC",NC,36,1723,1727,1903,1910,0,0,413
1/2/2022 0:00,AA,6012,MDT,"Harrisburg, PA",PA,23,PHL,"Philadelphia, PA",PA,23,720,709,815,757,0,0,84
