FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1044,,1048,,1,0,119
1/1/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,,1819,,1,0,119
1/2/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1044,,1048,,1,0,119
1/2/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,,1819,,1,0,119
1/3/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1044,1035,1048,1013,0,0,119
1/3/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1815,1819,1808,0,0,119
1/4/2022 0:00,UA,5078,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1355,,1359,,1,0,119
1/5/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,,1051,,1,0,119
1/6/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,,1051,,1,0,119
1/6/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1812,1819,1800,0,0,119
1/7/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,,1051,,1,0,119
1/7/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,,1819,,1,0,119
1/8/2022 0:00,UA,5078,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1355,,1359,,1,0,119
1/9/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1039,1051,1035,0,0,119
1/9/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1805,1819,1817,0,0,119
1/10/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1037,1051,1034,0,0,119
1/10/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1806,1819,1828,0,0,119
1/11/2022 0:00,UA,5078,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1355,1348,1359,1339,0,0,119
1/12/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,,1051,,1,0,119
1/13/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1037,1051,1053,0,0,119
1/13/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1805,1819,1802,0,0,119
1/14/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1037,1051,1027,0,0,119
1/14/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1809,1819,1832,0,0,119
1/15/2022 0:00,UA,5078,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1355,1347,1359,1343,0,0,119
1/16/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1037,1051,1030,0,0,119
1/16/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1805,1819,1759,0,0,119
1/17/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1051,1051,1037,0,0,119
1/17/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1951,1819,1953,0,0,119
1/18/2022 0:00,UA,5078,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1355,1354,1359,1400,0,0,119
1/19/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1029,1051,1016,0,0,119
1/20/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1038,1051,1038,0,0,119
1/20/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1804,1819,1752,0,0,119
1/21/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1033,1051,1039,0,0,119
1/22/2022 0:00,UA,5078,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1355,1349,1359,1406,0,0,119
1/23/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1145,1051,1147,0,0,119
1/23/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1824,1819,1839,0,0,119
1/24/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,,1051,,1,0,119
1/24/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1852,1819,1903,0,0,119
1/25/2022 0:00,UA,5078,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1355,1346,1359,1350,0,0,119
1/26/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1037,1051,1038,0,0,119
1/27/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1050,1051,1057,0,0,119
1/27/2022 0:00,UA,5062,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1815,1805,1819,1810,0,0,119
1/28/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,,1051,,1,0,119
1/29/2022 0:00,UA,5078,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1355,1345,1359,1332,0,0,119
1/30/2022 0:00,UA,5056,MKG,"Muskegon, MI",MI,43,ORD,"Chicago, IL",IL,41,1047,1028,1051,1035,0,0,119
