FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3680,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,1437,,1545,,1,0,139
1/1/2022 0:00,AA,4401,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,1040,1031,1153,1158,0,0,139
1/1/2022 0:00,AA,5850,MLI,"Moline, IL",IL,41,DFW,"Dallas/Fort Worth, TX",TX,74,707,700,950,952,0,0,691
1/1/2022 0:00,AA,5853,MLI,"Moline, IL",IL,41,DFW,"Dallas/Fort Worth, TX",TX,74,1535,,1800,,1,0,691
1/1/2022 0:00,DL,4639,MLI,"Moline, IL",IL,41,MSP,"Minneapolis, MN",MN,63,845,840,1011,1042,0,0,274
1/1/2022 0:00,DL,4815,MLI,"Moline, IL",IL,41,ATL,"Atlanta, GA",GA,34,1500,,1803,,1,0,633
1/1/2022 0:00,DL,4843,MLI,"Moline, IL",IL,41,ATL,"Atlanta, GA",GA,34,554,549,905,902,0,0,633
1/1/2022 0:00,UA,3950,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,645,,800,,1,0,139
1/1/2022 0:00,UA,5288,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,1550,,1702,,1,0,139
1/1/2022 0:00,UA,5979,MLI,"Moline, IL",IL,41,DEN,"Denver, CO",CO,82,840,829,1015,1027,0,0,752
1/2/2022 0:00,AA,3680,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,1437,1500,1545,1618,0,0,139
1/2/2022 0:00,AA,4401,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,600,,722,,1,0,139
1/2/2022 0:00,AA,5853,MLI,"Moline, IL",IL,41,DFW,"Dallas/Fort Worth, TX",TX,74,1535,1839,1800,2047,0,0,691
1/2/2022 0:00,DL,4639,MLI,"Moline, IL",IL,41,MSP,"Minneapolis, MN",MN,63,800,,930,,1,0,274
1/2/2022 0:00,DL,4815,MLI,"Moline, IL",IL,41,ATL,"Atlanta, GA",GA,34,1230,1225,1532,1519,0,0,633
1/2/2022 0:00,DL,4843,MLI,"Moline, IL",IL,41,ATL,"Atlanta, GA",GA,34,553,554,905,909,0,0,633
1/2/2022 0:00,DL,5068,MLI,"Moline, IL",IL,41,MSP,"Minneapolis, MN",MN,63,1731,1924,1858,2057,0,0,274
1/2/2022 0:00,G4,1359,MLI,"Moline, IL",IL,41,AZA,"Phoenix, AZ",AZ,81,1141,1343,1359,1543,0,0,1288
1/2/2022 0:00,G4,2321,MLI,"Moline, IL",IL,41,SFB,"Sanford, FL",FL,33,2012,2036,2341,16,0,0,1018
1/2/2022 0:00,G4,243,MLI,"Moline, IL",IL,41,LAS,"Las Vegas, NV",NV,85,2213,2212,2342,2333,0,0,1376
1/2/2022 0:00,UA,5288,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,1550,,1702,,1,0,139
1/2/2022 0:00,UA,5487,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,645,,800,,1,0,139
1/2/2022 0:00,UA,5979,MLI,"Moline, IL",IL,41,DEN,"Denver, CO",CO,82,840,,1015,,1,0,752
1/3/2022 0:00,AA,3680,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,1437,1429,1545,1525,0,0,139
1/3/2022 0:00,AA,4401,MLI,"Moline, IL",IL,41,ORD,"Chicago, IL",IL,41,600,556,722,733,0,0,139
1/3/2022 0:00,AA,5850,MLI,"Moline, IL",IL,41,DFW,"Dallas/Fort Worth, TX",TX,74,707,705,950,941,0,0,691
1/3/2022 0:00,AA,5853,MLI,"Moline, IL",IL,41,DFW,"Dallas/Fort Worth, TX",TX,74,1535,1548,1800,1750,0,0,691
1/3/2022 0:00,DL,4639,MLI,"Moline, IL",IL,41,MSP,"Minneapolis, MN",MN,63,800,,930,,1,0,274
1/3/2022 0:00,DL,4815,MLI,"Moline, IL",IL,41,ATL,"Atlanta, GA",GA,34,1230,1409,1532,1657,0,0,633
1/3/2022 0:00,DL,4843,MLI,"Moline, IL",IL,41,ATL,"Atlanta, GA",GA,34,553,557,905,905,0,0,633
1/3/2022 0:00,DL,5068,MLI,"Moline, IL",IL,41,MSP,"Minneapolis, MN",MN,63,1731,1852,1858,2021,0,0,274
1/3/2022 0:00,G4,1776,MLI,"Moline, IL",IL,41,PGD,"Punta Gorda, FL",FL,33,1027,1029,1406,1407,0,0,1113
1/3/2022 0:00,G4,1871,MLI,"Moline, IL",IL,41,PIE,"St. Petersburg, FL",FL,33,1936,2040,2305,11,0,0,1033
