FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1167,MSY,"New Orleans, LA",LA,72,PHX,"Phoenix, AZ",AZ,81,1433,1438,1707,1712,0,0,1300
1/1/2022 0:00,AA,1266,MSY,"New Orleans, LA",LA,72,CLT,"Charlotte, NC",NC,36,500,456,754,748,0,0,651
1/1/2022 0:00,AA,1367,MSY,"New Orleans, LA",LA,72,DCA,"Washington, DC",VA,38,1735,1738,2059,2046,0,0,969
1/1/2022 0:00,AA,1470,MSY,"New Orleans, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,750,748,940,921,0,0,447
1/1/2022 0:00,AA,1739,MSY,"New Orleans, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1433,1515,1620,1659,0,0,447
1/1/2022 0:00,AA,1776,MSY,"New Orleans, LA",LA,72,CLT,"Charlotte, NC",NC,36,910,910,1204,1202,0,0,651
1/1/2022 0:00,AA,1779,MSY,"New Orleans, LA",LA,72,MIA,"Miami, FL",FL,33,801,754,1100,1110,0,0,675
1/1/2022 0:00,AA,1791,MSY,"New Orleans, LA",LA,72,CLT,"Charlotte, NC",NC,36,1250,1512,1540,1825,0,0,651
1/1/2022 0:00,AA,2105,MSY,"New Orleans, LA",LA,72,MIA,"Miami, FL",FL,33,1101,,1355,,1,0,675
1/1/2022 0:00,AA,2257,MSY,"New Orleans, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1928,1932,2114,2118,0,0,447
1/1/2022 0:00,AA,2430,MSY,"New Orleans, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1804,1803,1954,1946,0,0,447
1/1/2022 0:00,AA,2603,MSY,"New Orleans, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1046,1041,1232,1215,0,0,447
1/1/2022 0:00,AA,2607,MSY,"New Orleans, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1230,1228,1416,1405,0,0,447
1/1/2022 0:00,AA,386,MSY,"New Orleans, LA",LA,72,MIA,"Miami, FL",FL,33,618,610,914,854,0,0,675
1/1/2022 0:00,AA,3868,MSY,"New Orleans, LA",LA,72,ORD,"Chicago, IL",IL,41,1323,,1558,,1,0,836
1/1/2022 0:00,AA,4058,MSY,"New Orleans, LA",LA,72,MIA,"Miami, FL",FL,33,1540,1535,1836,1814,0,0,675
1/1/2022 0:00,AA,4171,MSY,"New Orleans, LA",LA,72,AUS,"Austin, TX",TX,74,1805,1840,1944,2010,0,0,444
1/1/2022 0:00,AA,4219,MSY,"New Orleans, LA",LA,72,AUS,"Austin, TX",TX,74,700,657,838,827,0,0,444
1/1/2022 0:00,AA,4961,MSY,"New Orleans, LA",LA,72,PHL,"Philadelphia, PA",PA,23,1633,1731,2017,2117,0,0,1089
1/1/2022 0:00,AA,5135,MSY,"New Orleans, LA",LA,72,CLT,"Charlotte, NC",NC,36,1626,1618,1921,1913,0,0,651
1/1/2022 0:00,AA,5288,MSY,"New Orleans, LA",LA,72,DCA,"Washington, DC",VA,38,1243,1344,1605,1659,0,0,969
1/1/2022 0:00,AA,5394,MSY,"New Orleans, LA",LA,72,DCA,"Washington, DC",VA,38,835,936,1157,1249,0,0,969
1/1/2022 0:00,AA,795,MSY,"New Orleans, LA",LA,72,MIA,"Miami, FL",FL,33,1835,1857,2130,2136,0,0,675
1/1/2022 0:00,AS,755,MSY,"New Orleans, LA",LA,72,SEA,"Seattle, WA",WA,93,1835,1858,2200,2229,0,0,2086
1/1/2022 0:00,B6,1422,MSY,"New Orleans, LA",LA,72,FLL,"Fort Lauderdale, FL",FL,33,600,608,841,858,0,0,674
1/1/2022 0:00,B6,576,MSY,"New Orleans, LA",LA,72,JFK,"New York, NY",NY,22,1823,1945,2213,2340,0,0,1182
1/1/2022 0:00,DL,1522,MSY,"New Orleans, LA",LA,72,DTW,"Detroit, MI",MI,43,1130,,1458,,1,0,926
1/1/2022 0:00,DL,1721,MSY,"New Orleans, LA",LA,72,MSP,"Minneapolis, MN",MN,63,1410,1421,1654,1701,0,0,1039
1/1/2022 0:00,DL,1735,MSY,"New Orleans, LA",LA,72,ATL,"Atlanta, GA",GA,34,630,627,905,848,0,0,425
1/1/2022 0:00,DL,2055,MSY,"New Orleans, LA",LA,72,ATL,"Atlanta, GA",GA,34,1355,1353,1619,1605,0,0,425
1/1/2022 0:00,DL,2360,MSY,"New Orleans, LA",LA,72,ATL,"Atlanta, GA",GA,34,830,824,1059,1038,0,0,425
1/1/2022 0:00,DL,2368,MSY,"New Orleans, LA",LA,72,ATL,"Atlanta, GA",GA,34,1700,1715,1937,1925,0,0,425
1/1/2022 0:00,DL,2782,MSY,"New Orleans, LA",LA,72,ATL,"Atlanta, GA",GA,34,1145,,1413,,1,0,425
1/1/2022 0:00,DL,2957,MSY,"New Orleans, LA",LA,72,JFK,"New York, NY",NY,22,1959,1949,2351,4,0,0,1182
1/1/2022 0:00,DL,2966,MSY,"New Orleans, LA",LA,72,JFK,"New York, NY",NY,22,1125,1140,1516,1516,0,0,1182
1/1/2022 0:00,DL,5610,MSY,"New Orleans, LA",LA,72,LGA,"New York, NY",NY,22,1305,1308,1656,1646,0,0,1183
1/1/2022 0:00,DL,985,MSY,"New Orleans, LA",LA,72,LAX,"Los Angeles, CA",CA,91,1945,1958,2210,2210,0,0,1670
1/1/2022 0:00,F9,1140,MSY,"New Orleans, LA",LA,72,MCO,"Orlando, FL",FL,33,1120,1112,1408,1347,0,0,551
1/1/2022 0:00,F9,2338,MSY,"New Orleans, LA",LA,72,PHL,"Philadelphia, PA",PA,23,1936,2005,2319,2345,0,0,1089
1/1/2022 0:00,NK,1046,MSY,"New Orleans, LA",LA,72,IAH,"Houston, TX",TX,74,1443,1551,1604,1702,0,0,305
1/1/2022 0:00,NK,1251,MSY,"New Orleans, LA",LA,72,EWR,"Newark, NJ",NJ,21,1400,1403,1802,1747,0,0,1167
1/1/2022 0:00,NK,452,MSY,"New Orleans, LA",LA,72,ATL,"Atlanta, GA",GA,34,1053,1048,1323,1310,0,0,425
1/1/2022 0:00,NK,483,MSY,"New Orleans, LA",LA,72,LAS,"Las Vegas, NV",NV,85,2159,,2349,,1,0,1500
1/1/2022 0:00,NK,554,MSY,"New Orleans, LA",LA,72,MCO,"Orlando, FL",FL,33,1814,1833,2110,2136,0,0,551
1/1/2022 0:00,NK,618,MSY,"New Orleans, LA",LA,72,MCO,"Orlando, FL",FL,33,2040,2049,2332,2325,0,0,551
1/1/2022 0:00,NK,669,MSY,"New Orleans, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,554,742,727,0,0,447
1/1/2022 0:00,NK,680,MSY,"New Orleans, LA",LA,72,FLL,"Fort Lauderdale, FL",FL,33,530,916,822,1218,0,0,674
1/1/2022 0:00,NK,810,MSY,"New Orleans, LA",LA,72,DTW,"Detroit, MI",MI,43,2130,2209,55,113,0,0,926
1/1/2022 0:00,NK,937,MSY,"New Orleans, LA",LA,72,TPA,"Tampa, FL",FL,33,2059,2101,2321,2320,0,0,488
1/1/2022 0:00,NK,950,MSY,"New Orleans, LA",LA,72,BWI,"Baltimore, MD",MD,35,1410,1405,1734,1733,0,0,998
