FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,5357,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1050,1042,1214,1158,0,0,191
1/1/2022 0:00,AA,5373,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1613,1628,1733,1738,0,0,191
1/1/2022 0:00,AA,5391,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,649,645,815,810,0,0,191
1/1/2022 0:00,AA,5563,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1232,1238,1349,1350,0,0,191
1/1/2022 0:00,DL,4830,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,ATL,"Atlanta, GA",GA,34,945,940,1125,1059,0,0,399
1/1/2022 0:00,DL,4958,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,ATL,"Atlanta, GA",GA,34,1320,1316,1458,1444,0,0,399
1/2/2022 0:00,AA,5357,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1050,1042,1214,1205,0,0,191
1/2/2022 0:00,AA,5373,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1613,1635,1733,1743,0,0,191
1/2/2022 0:00,AA,5391,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,658,652,824,808,0,0,191
1/2/2022 0:00,AA,5397,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,2008,2019,2128,2204,0,0,191
1/2/2022 0:00,AA,5563,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1232,1234,1349,1343,0,0,191
1/2/2022 0:00,DL,4703,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,ATL,"Atlanta, GA",GA,34,1836,1854,2016,2032,0,0,399
1/2/2022 0:00,DL,4830,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,ATL,"Atlanta, GA",GA,34,540,537,734,716,0,0,399
1/2/2022 0:00,DL,4958,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,ATL,"Atlanta, GA",GA,34,1320,1317,1459,1451,0,0,399
1/3/2022 0:00,AA,5357,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1050,1049,1214,1200,0,0,191
1/3/2022 0:00,AA,5373,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1613,1615,1733,1721,0,0,191
1/3/2022 0:00,AA,5391,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,658,651,824,812,0,0,191
1/3/2022 0:00,AA,5397,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,2008,1959,2128,2125,0,0,191
1/3/2022 0:00,AA,5563,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,CLT,"Charlotte, NC",NC,36,1232,1342,1349,1501,0,0,191
1/3/2022 0:00,DL,4703,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,ATL,"Atlanta, GA",GA,34,1836,1838,2016,2012,0,0,399
1/3/2022 0:00,DL,4830,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,ATL,"Atlanta, GA",GA,34,540,,734,,1,0,399
1/3/2022 0:00,DL,4958,OAJ,"Jacksonville/Camp Lejeune, NC",NC,36,ATL,"Atlanta, GA",GA,34,1320,1315,1459,1446,0,0,399
