FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1004,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,1830,937,2239,1349,0,0,1182
1/1/2022 0:00,AA,1039,ORD,"Chicago, IL",IL,41,MSP,"Minneapolis, MN",MN,63,1800,,1936,,1,0,334
1/1/2022 0:00,AA,1047,ORD,"Chicago, IL",IL,41,DFW,"Dallas/Fort Worth, TX",TX,74,2005,,2239,,1,0,801
1/1/2022 0:00,AA,1062,ORD,"Chicago, IL",IL,41,STL,"St. Louis, MO",MO,64,1907,,2021,,1,0,258
1/1/2022 0:00,AA,1101,ORD,"Chicago, IL",IL,41,TPA,"Tampa, FL",FL,33,1250,1249,1628,1628,0,0,1011
1/1/2022 0:00,AA,1109,ORD,"Chicago, IL",IL,41,STT,"Charlotte Amalie, VI",VI,4,810,816,1449,1446,0,0,2115
1/1/2022 0:00,AA,1121,ORD,"Chicago, IL",IL,41,MCO,"Orlando, FL",FL,33,830,831,1211,1219,0,0,1005
1/1/2022 0:00,AA,1168,ORD,"Chicago, IL",IL,41,SAN,"San Diego, CA",CA,91,1315,1309,1547,1556,0,0,1723
1/1/2022 0:00,AA,1172,ORD,"Chicago, IL",IL,41,BOS,"Boston, MA",MA,13,1754,1830,2116,2220,0,0,867
1/1/2022 0:00,AA,1200,ORD,"Chicago, IL",IL,41,TUS,"Tucson, AZ",AZ,81,1230,1330,1524,1646,0,0,1437
1/1/2022 0:00,AA,1240,ORD,"Chicago, IL",IL,41,SEA,"Seattle, WA",WA,93,810,1021,1055,1249,0,0,1721
1/1/2022 0:00,AA,1277,ORD,"Chicago, IL",IL,41,MIA,"Miami, FL",FL,33,1755,,2209,,1,0,1197
1/1/2022 0:00,AA,1301,ORD,"Chicago, IL",IL,41,JFK,"New York, NY",NY,22,1835,,2155,,1,0,740
1/1/2022 0:00,AA,1307,ORD,"Chicago, IL",IL,41,LGA,"New York, NY",NY,22,1930,,2232,,1,0,733
1/1/2022 0:00,AA,1309,ORD,"Chicago, IL",IL,41,SJU,"San Juan, PR",PR,3,2225,,500,,1,0,2072
1/1/2022 0:00,AA,1364,ORD,"Chicago, IL",IL,41,AUS,"Austin, TX",TX,74,1742,,2032,,1,0,977
1/1/2022 0:00,AA,1378,ORD,"Chicago, IL",IL,41,JFK,"New York, NY",NY,22,1459,1529,1817,1845,0,0,740
1/1/2022 0:00,AA,1386,ORD,"Chicago, IL",IL,41,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1253,1251,1701,1713,0,0,1143
1/1/2022 0:00,AA,1438,ORD,"Chicago, IL",IL,41,MIA,"Miami, FL",FL,33,830,,1236,,1,0,1197
