FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/2/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,,1535,,1,0,412
1/3/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1501,1535,1642,0,0,412
1/5/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,,1535,,1,0,412
1/6/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,,1535,,1,0,412
1/7/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1436,1535,1613,0,0,412
1/9/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1429,1535,1559,0,0,412
1/10/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1352,1535,1510,0,0,412
1/12/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1352,1535,1528,0,0,412
1/13/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,,1535,,1,0,412
1/14/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1511,1535,1640,0,0,412
1/16/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1552,1535,1706,0,0,412
1/17/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1356,1535,1514,0,0,412
1/19/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1351,1535,1504,0,0,412
1/20/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,,1535,,1,0,412
1/21/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1357,1535,1509,0,0,412
1/23/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1417,1535,1541,0,0,412
1/24/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1349,1535,1510,0,0,412
1/26/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1353,1535,1504,0,0,412
1/27/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1358,1535,1524,0,0,412
1/28/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1352,1535,1517,0,0,412
1/30/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1404,1535,1523,0,0,412
1/31/2022 0:00,UA,5967,OTH,"North Bend/Coos Bay, OR",OR,92,SFO,"San Francisco, CA",CA,91,1402,1407,1535,1528,0,0,412
