FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,6021,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,623,805,731,0,0,203
1/1/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1812,1843,1940,2000,0,0,203
1/1/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1042,1037,1219,1147,0,0,203
1/2/2022 0:00,AA,6021,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,622,805,741,0,0,203
1/2/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1812,,1940,,1,0,203
1/2/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1042,1215,1219,1324,0,0,203
1/3/2022 0:00,AA,6021,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,,805,,1,0,203
1/3/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1812,1839,1940,2009,0,0,203
1/3/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1042,1035,1219,1154,0,0,203
1/4/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,621,810,801,0,0,203
1/4/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1755,1940,1908,0,0,203
1/4/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1106,1223,1219,0,0,203
1/5/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,623,810,736,0,0,203
1/5/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1757,1940,1909,0,0,203
1/5/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1041,1223,1234,0,0,203
1/6/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,458,640,613,0,0,203
1/6/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1757,1940,1909,0,0,203
1/6/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1044,1223,1205,0,0,203
1/7/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,458,640,620,0,0,203
1/7/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1800,1940,1927,0,0,203
1/7/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1031,1223,1149,0,0,203
1/8/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,623,810,825,0,0,203
1/8/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1757,1940,1936,0,0,203
1/8/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1031,1223,1135,0,0,203
1/9/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,623,810,737,0,0,203
1/9/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1803,1940,1918,0,0,203
1/9/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1101,1223,1239,0,0,203
1/10/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,455,640,612,0,0,203
1/10/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1758,1940,1914,0,0,203
1/10/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1033,1223,1207,0,0,203
1/11/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,624,810,728,0,0,203
1/11/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1756,1940,1942,0,0,203
1/11/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1034,1223,1150,0,0,203
1/12/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,619,810,805,0,0,203
1/12/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1757,1940,1912,0,0,203
1/12/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1031,1223,1144,0,0,203
1/13/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,457,640,620,0,0,203
1/13/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1758,1940,1912,0,0,203
1/13/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1044,1223,1208,0,0,203
1/14/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,459,640,614,0,0,203
1/14/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1802,1940,1916,0,0,203
1/14/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1031,1223,1143,0,0,203
1/15/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,620,810,747,0,0,203
1/15/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1800,1940,1911,0,0,203
1/15/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1031,1223,1132,0,0,203
1/16/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,,810,,1,0,203
1/16/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,,1940,,1,0,203
1/16/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,,1223,,1,0,203
1/17/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,,640,,1,0,203
1/17/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1828,1940,1941,0,0,203
1/17/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,,1223,,1,0,203
1/18/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,623,810,733,0,0,203
1/18/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1757,1940,1930,0,0,203
1/18/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1034,1223,1147,0,0,203
1/19/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,623,810,812,0,0,203
1/19/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1757,1940,1909,0,0,203
1/19/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1037,1223,1204,0,0,203
1/20/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,457,640,611,0,0,203
1/20/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1805,1940,1928,0,0,203
1/20/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1031,1223,1228,0,0,203
1/21/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,,640,,1,0,203
1/21/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,,1940,,1,0,203
1/21/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,,1223,,1,0,203
1/22/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,,810,,1,0,203
1/22/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,,1940,,1,0,203
1/22/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,,1223,,1,0,203
1/23/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,,810,,1,0,203
1/23/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1800,1940,1912,0,0,203
1/23/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1038,1223,1210,0,0,203
1/24/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,456,640,630,0,0,203
1/24/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1806,1940,1913,0,0,203
1/24/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1035,1223,1152,0,0,203
1/25/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,620,810,746,0,0,203
1/25/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1757,1940,1911,0,0,203
1/25/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1037,1223,1200,0,0,203
1/26/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,620,810,729,0,0,203
1/26/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1757,1940,1932,0,0,203
1/26/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1031,1223,1200,0,0,203
1/27/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,457,640,632,0,0,203
1/27/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,2150,1940,2313,0,0,203
1/27/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1038,1223,1158,0,0,203
1/28/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,1117,640,1252,0,0,203
1/28/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1830,1940,1946,0,0,203
1/28/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1032,1223,1143,0,0,203
1/29/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,,810,,1,0,203
1/29/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1805,1940,1953,0,0,203
1/29/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,,1223,,1,0,203
1/30/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,630,622,810,744,0,0,203
1/30/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1904,1940,2049,0,0,203
1/30/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1036,1223,1152,0,0,203
1/31/2022 0:00,AA,6008,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,505,504,640,623,0,0,203
1/31/2022 0:00,AA,6089,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1807,1803,1940,1904,0,0,203
1/31/2022 0:00,AA,6170,PGV,"Greenville, NC",NC,36,CLT,"Charlotte, NC",NC,36,1041,1040,1223,1144,0,0,203
