FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1014,PHL,"Philadelphia, PA",PA,23,MCO,"Orlando, FL",FL,33,1810,1801,2047,2038,0,0,861
1/1/2022 0:00,AA,1029,PHL,"Philadelphia, PA",PA,23,DFW,"Dallas/Fort Worth, TX",TX,74,1840,1912,2132,2217,0,0,1303
1/1/2022 0:00,AA,1041,PHL,"Philadelphia, PA",PA,23,LAX,"Los Angeles, CA",CA,91,2000,2011,2302,2255,0,0,2402
1/1/2022 0:00,AA,1099,PHL,"Philadelphia, PA",PA,23,DFW,"Dallas/Fort Worth, TX",TX,74,834,905,1126,1154,0,0,1303
1/1/2022 0:00,AA,1185,PHL,"Philadelphia, PA",PA,23,BOS,"Boston, MA",MA,13,705,658,825,801,0,0,280
1/1/2022 0:00,AA,1254,PHL,"Philadelphia, PA",PA,23,TPA,"Tampa, FL",FL,33,1945,1945,2225,2227,0,0,920
1/1/2022 0:00,AA,1289,PHL,"Philadelphia, PA",PA,23,SEA,"Seattle, WA",WA,93,1945,2010,2301,2312,0,0,2378
1/1/2022 0:00,AA,1313,PHL,"Philadelphia, PA",PA,23,DEN,"Denver, CO",CO,82,934,952,1208,1224,0,0,1558
1/1/2022 0:00,AA,1359,PHL,"Philadelphia, PA",PA,23,ORD,"Chicago, IL",IL,41,2000,,2138,,1,0,678
1/1/2022 0:00,AA,1442,PHL,"Philadelphia, PA",PA,23,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1345,1343,1633,1619,0,0,951
1/1/2022 0:00,AA,1453,PHL,"Philadelphia, PA",PA,23,MIA,"Miami, FL",FL,33,600,553,900,832,0,0,1013
1/1/2022 0:00,AA,1496,PHL,"Philadelphia, PA",PA,23,SJU,"San Juan, PR",PR,3,943,941,1448,1408,0,0,1576
1/1/2022 0:00,AA,1529,PHL,"Philadelphia, PA",PA,23,SJU,"San Juan, PR",PR,3,1956,2039,49,105,0,0,1576
1/1/2022 0:00,AA,1585,PHL,"Philadelphia, PA",PA,23,LAS,"Las Vegas, NV",NV,85,1645,1639,1908,1908,0,0,2176
1/1/2022 0:00,AA,1673,PHL,"Philadelphia, PA",PA,23,MCO,"Orlando, FL",FL,33,2010,2005,2258,2226,0,0,861
1/1/2022 0:00,AA,1684,PHL,"Philadelphia, PA",PA,23,MCO,"Orlando, FL",FL,33,800,751,1037,1021,0,0,861
1/1/2022 0:00,AA,1719,PHL,"Philadelphia, PA",PA,23,MCO,"Orlando, FL",FL,33,1100,1057,1337,1323,0,0,861
1/1/2022 0:00,AA,1735,PHL,"Philadelphia, PA",PA,23,FLL,"Fort Lauderdale, FL",FL,33,800,750,1049,1023,0,0,992
1/1/2022 0:00,AA,1772,PHL,"Philadelphia, PA",PA,23,ATL,"Atlanta, GA",GA,34,2027,2039,2305,2305,0,0,666
1/1/2022 0:00,AA,1814,PHL,"Philadelphia, PA",PA,23,DFW,"Dallas/Fort Worth, TX",TX,74,1518,1521,1810,1838,0,0,1303
1/1/2022 0:00,AA,1822,PHL,"Philadelphia, PA",PA,23,CLT,"Charlotte, NC",NC,36,1538,1532,1728,1710,0,0,449
1/1/2022 0:00,AA,1830,PHL,"Philadelphia, PA",PA,23,MIA,"Miami, FL",FL,33,1138,1135,1435,1420,0,0,1013
1/1/2022 0:00,AA,1837,PHL,"Philadelphia, PA",PA,23,PBI,"West Palm Beach/Palm Beach, FL",FL,33,930,925,1214,1151,0,0,951
1/1/2022 0:00,AA,1864,PHL,"Philadelphia, PA",PA,23,FLL,"Fort Lauderdale, FL",FL,33,2035,2031,2342,2321,0,0,992
1/1/2022 0:00,AA,1874,PHL,"Philadelphia, PA",PA,23,BOS,"Boston, MA",MA,13,2103,2101,2232,2204,0,0,280
1/1/2022 0:00,AA,1884,PHL,"Philadelphia, PA",PA,23,FLL,"Fort Lauderdale, FL",FL,33,1220,1222,1509,1451,0,0,992
1/1/2022 0:00,AA,1920,PHL,"Philadelphia, PA",PA,23,ORD,"Chicago, IL",IL,41,950,,1141,,1,0,678
1/1/2022 0:00,AA,1956,PHL,"Philadelphia, PA",PA,23,PHX,"Phoenix, AZ",AZ,81,2001,2016,2340,2336,0,0,2075
1/1/2022 0:00,AA,1979,PHL,"Philadelphia, PA",PA,23,MCO,"Orlando, FL",FL,33,640,635,917,908,0,0,861
1/1/2022 0:00,AA,2034,PHL,"Philadelphia, PA",PA,23,CLT,"Charlotte, NC",NC,36,1748,1744,1936,1932,0,0,449
1/1/2022 0:00,AA,2098,PHL,"Philadelphia, PA",PA,23,ORD,"Chicago, IL",IL,41,800,800,930,919,0,0,678
1/1/2022 0:00,AA,2157,PHL,"Philadelphia, PA",PA,23,MIA,"Miami, FL",FL,33,1955,1950,2300,2234,0,0,1013
1/1/2022 0:00,AA,2322,PHL,"Philadelphia, PA",PA,23,TPA,"Tampa, FL",FL,33,1655,1725,1937,2004,0,0,920
1/1/2022 0:00,AA,2528,PHL,"Philadelphia, PA",PA,23,STT,"Charlotte Amalie, VI",VI,4,800,752,1248,1219,0,0,1605
1/1/2022 0:00,AA,2534,PHL,"Philadelphia, PA",PA,23,MIA,"Miami, FL",FL,33,705,719,1004,955,0,0,1013
1/1/2022 0:00,AA,2562,PHL,"Philadelphia, PA",PA,23,DFW,"Dallas/Fort Worth, TX",TX,74,1101,1058,1352,1349,0,0,1303
1/1/2022 0:00,AA,2570,PHL,"Philadelphia, PA",PA,23,MIA,"Miami, FL",FL,33,950,1153,1300,1432,0,0,1013
1/1/2022 0:00,AA,2594,PHL,"Philadelphia, PA",PA,23,SAN,"San Diego, CA",CA,91,1750,1750,2051,2051,0,0,2370
1/1/2022 0:00,AA,2644,PHL,"Philadelphia, PA",PA,23,RDU,"Raleigh/Durham, NC",NC,36,2130,2354,2300,116,0,0,337
1/1/2022 0:00,AA,2649,PHL,"Philadelphia, PA",PA,23,CLT,"Charlotte, NC",NC,36,800,756,954,934,0,0,449
1/1/2022 0:00,AA,2663,PHL,"Philadelphia, PA",PA,23,SFO,"San Francisco, CA",CA,91,1826,1856,2150,2159,0,0,2521
1/1/2022 0:00,AA,2715,PHL,"Philadelphia, PA",PA,23,TPA,"Tampa, FL",FL,33,1200,1153,1442,1427,0,0,920
1/1/2022 0:00,AA,2921,PHL,"Philadelphia, PA",PA,23,CLT,"Charlotte, NC",NC,36,1950,2319,2139,53,0,0,449
1/1/2022 0:00,AA,2937,PHL,"Philadelphia, PA",PA,23,EGE,"Eagle, CO",CO,82,956,1000,1301,1636,0,1,1678
