FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2671,PNS,"Pensacola, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1700,1711,1916,1918,0,0,604
1/1/2022 0:00,AA,2680,PNS,"Pensacola, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,700,655,913,856,0,0,604
1/1/2022 0:00,AA,3508,PNS,"Pensacola, FL",FL,33,MIA,"Miami, FL",FL,33,600,554,848,831,0,0,530
1/1/2022 0:00,AA,3762,PNS,"Pensacola, FL",FL,33,MIA,"Miami, FL",FL,33,1901,1853,2150,2141,0,0,530
1/1/2022 0:00,AA,3768,PNS,"Pensacola, FL",FL,33,MIA,"Miami, FL",FL,33,1055,,1341,,1,0,530
1/1/2022 0:00,AA,5074,PNS,"Pensacola, FL",FL,33,PHL,"Philadelphia, PA",PA,23,650,647,1014,1005,0,0,935
1/1/2022 0:00,AA,5126,PNS,"Pensacola, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1348,1408,1559,1613,0,0,604
1/1/2022 0:00,AA,5312,PNS,"Pensacola, FL",FL,33,CLT,"Charlotte, NC",NC,36,1246,1231,1525,1522,0,0,488
1/1/2022 0:00,AA,5353,PNS,"Pensacola, FL",FL,33,CLT,"Charlotte, NC",NC,36,540,531,820,809,0,0,488
1/1/2022 0:00,AA,5424,PNS,"Pensacola, FL",FL,33,DCA,"Washington, DC",VA,38,611,643,917,1015,0,0,816
1/1/2022 0:00,AA,5444,PNS,"Pensacola, FL",FL,33,CLT,"Charlotte, NC",NC,36,715,712,1002,948,0,0,488
1/1/2022 0:00,AA,5453,PNS,"Pensacola, FL",FL,33,CLT,"Charlotte, NC",NC,36,1654,1648,1930,1932,0,0,488
1/1/2022 0:00,AA,5499,PNS,"Pensacola, FL",FL,33,DCA,"Washington, DC",VA,38,1252,1324,1559,1628,0,0,816
1/1/2022 0:00,AA,5780,PNS,"Pensacola, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,925,922,1138,1126,0,0,604
1/1/2022 0:00,DL,1676,PNS,"Pensacola, FL",FL,33,ATL,"Atlanta, GA",GA,34,600,558,815,805,0,0,271
1/1/2022 0:00,DL,1706,PNS,"Pensacola, FL",FL,33,ATL,"Atlanta, GA",GA,34,1200,1159,1422,1402,0,0,271
1/1/2022 0:00,DL,2233,PNS,"Pensacola, FL",FL,33,ATL,"Atlanta, GA",GA,34,1532,1556,1747,1751,0,0,271
1/1/2022 0:00,DL,2584,PNS,"Pensacola, FL",FL,33,ATL,"Atlanta, GA",GA,34,900,1514,1115,1713,0,0,271
1/1/2022 0:00,DL,5593,PNS,"Pensacola, FL",FL,33,LGA,"New York, NY",NY,22,1230,1223,1621,1547,0,0,1030
1/1/2022 0:00,F9,639,PNS,"Pensacola, FL",FL,33,DEN,"Denver, CO",CO,82,1354,1429,1611,1644,0,0,1179
1/1/2022 0:00,NK,1312,PNS,"Pensacola, FL",FL,33,MCO,"Orlando, FL",FL,33,1840,1836,2055,2058,0,0,381
1/1/2022 0:00,UA,2228,PNS,"Pensacola, FL",FL,33,IAH,"Houston, TX",TX,74,700,702,850,835,0,0,489
1/1/2022 0:00,UA,3838,PNS,"Pensacola, FL",FL,33,ORD,"Chicago, IL",IL,41,1605,,1848,,1,0,794
1/1/2022 0:00,UA,4814,PNS,"Pensacola, FL",FL,33,IAD,"Washington, DC",VA,38,1230,,1541,,1,0,804
1/1/2022 0:00,UA,4870,PNS,"Pensacola, FL",FL,33,IAH,"Houston, TX",TX,74,1647,,1849,,1,0,489
1/1/2022 0:00,UA,4902,PNS,"Pensacola, FL",FL,33,IAH,"Houston, TX",TX,74,1320,1359,1519,1540,0,0,489
1/1/2022 0:00,WN,1065,PNS,"Pensacola, FL",FL,33,ATL,"Atlanta, GA",GA,34,1640,1632,1850,1829,0,0,271
1/1/2022 0:00,WN,2569,PNS,"Pensacola, FL",FL,33,BNA,"Nashville, TN",TN,54,1940,2028,2105,2155,0,0,391
1/1/2022 0:00,WN,2807,PNS,"Pensacola, FL",FL,33,STL,"St. Louis, MO",MO,64,1300,1301,1455,1437,0,0,598
1/1/2022 0:00,WN,2919,PNS,"Pensacola, FL",FL,33,HOU,"Houston, TX",TX,74,1050,1131,1235,1259,0,0,488
