FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5034,PRC,"Prescott, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,1515,1824,1547,1837,0,0,346
1/1/2022 0:00,UA,5127,PRC,"Prescott, AZ",AZ,81,DEN,"Denver, CO",CO,82,600,1400,759,1604,0,0,557
1/2/2022 0:00,UA,5034,PRC,"Prescott, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,1515,1901,1547,1920,0,0,346
1/2/2022 0:00,UA,5127,PRC,"Prescott, AZ",AZ,81,DEN,"Denver, CO",CO,82,600,614,759,806,0,0,557
1/3/2022 0:00,UA,5034,PRC,"Prescott, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,1515,1550,1547,1616,0,0,346
1/3/2022 0:00,UA,5127,PRC,"Prescott, AZ",AZ,81,DEN,"Denver, CO",CO,82,600,551,759,731,0,0,557
1/4/2022 0:00,UA,5071,PRC,"Prescott, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,1730,1722,1802,1748,0,0,346
1/4/2022 0:00,UA,5127,PRC,"Prescott, AZ",AZ,81,DEN,"Denver, CO",CO,82,630,621,829,801,0,0,557
1/5/2022 0:00,UA,5071,PRC,"Prescott, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,1730,1742,1802,1807,0,0,346
1/5/2022 0:00,UA,5127,PRC,"Prescott, AZ",AZ,81,DEN,"Denver, CO",CO,82,630,619,829,753,0,0,557
1/6/2022 0:00,UA,5071,PRC,"Prescott, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,1730,1725,1802,1753,0,0,346
1/6/2022 0:00,UA,5127,PRC,"Prescott, AZ",AZ,81,DEN,"Denver, CO",CO,82,630,619,829,804,0,0,557
1/7/2022 0:00,UA,5071,PRC,"Prescott, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,1730,2015,1802,2034,0,0,346
1/7/2022 0:00,UA,5127,PRC,"Prescott, AZ",AZ,81,DEN,"Denver, CO",CO,82,630,620,829,812,0,0,557
