FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,G4,1708,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1603,1605,1935,1940,0,0,1279
1/2/2022 0:00,G4,2483,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,1949,1957,2303,2327,0,0,1144
1/3/2022 0:00,G4,1565,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1905,1903,2237,2242,0,0,1279
1/6/2022 0:00,G4,2243,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,950,1008,1305,1339,0,0,1144
1/7/2022 0:00,G4,1598,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1106,,1441,,1,0,1279
1/9/2022 0:00,G4,2243,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,950,951,1305,1332,0,0,1144
1/10/2022 0:00,G4,1598,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1106,1059,1441,1540,0,0,1279
1/13/2022 0:00,G4,2243,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,950,1001,1305,1312,0,0,1144
1/14/2022 0:00,G4,1766,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1056,1115,1431,1428,0,0,1279
1/16/2022 0:00,G4,2243,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,950,944,1305,1314,0,0,1144
1/17/2022 0:00,G4,1766,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1056,1418,1431,1741,0,0,1279
1/20/2022 0:00,G4,2243,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,950,957,1305,1318,0,0,1144
1/21/2022 0:00,G4,1766,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1056,1052,1431,1447,0,0,1279
1/23/2022 0:00,G4,2243,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,950,944,1305,1254,0,0,1144
1/24/2022 0:00,G4,1766,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1056,1105,1431,1444,0,0,1279
1/27/2022 0:00,G4,2243,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,950,1013,1305,1325,0,0,1144
1/28/2022 0:00,G4,1598,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1106,1054,1441,1457,0,0,1279
1/30/2022 0:00,G4,2243,PSM,"Portsmouth, NH",NH,14,SFB,"Sanford, FL",FL,33,950,944,1305,1246,0,0,1144
1/31/2022 0:00,G4,1598,PSM,"Portsmouth, NH",NH,14,PGD,"Punta Gorda, FL",FL,33,1106,1310,1441,1624,0,0,1279
