FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,,715,,1,0,250
1/1/2022 0:00,AS,2110,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1540,1552,1658,1735,0,0,250
1/2/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,600,715,717,0,0,250
1/2/2022 0:00,AS,2110,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1540,1540,1658,1731,0,0,250
1/2/2022 0:00,AS,2496,PUW,"Pullman, WA",WA,93,BOI,"Boise, ID",ID,83,1310,1320,1513,1515,0,0,224
1/3/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,608,715,725,0,0,250
1/3/2022 0:00,AS,2110,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1540,1601,1658,1751,0,0,250
1/3/2022 0:00,AS,2496,PUW,"Pullman, WA",WA,93,BOI,"Boise, ID",ID,83,1310,,1513,,1,0,224
1/4/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,652,715,806,0,0,250
1/4/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1731,1847,1901,0,0,250
1/4/2022 0:00,AS,2152,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1315,1332,1433,1451,0,0,250
1/5/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,621,715,748,0,0,250
1/5/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1739,1847,1856,0,0,250
1/5/2022 0:00,AS,2152,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1315,,1433,,1,0,250
1/5/2022 0:00,AS,2492,PUW,"Pullman, WA",WA,93,BOI,"Boise, ID",ID,83,1420,,1620,,1,0,224
1/6/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,1022,715,1154,0,0,250
1/6/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1722,1847,1843,0,0,250
1/6/2022 0:00,AS,2152,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1315,1328,1433,1508,0,0,250
1/6/2022 0:00,AS,2492,PUW,"Pullman, WA",WA,93,BOI,"Boise, ID",ID,83,1420,1455,1620,1648,0,0,224
1/7/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,605,715,719,0,0,250
1/7/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1800,1847,1914,0,0,250
1/7/2022 0:00,AS,2152,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1315,1322,1433,1452,0,0,250
1/7/2022 0:00,AS,2492,PUW,"Pullman, WA",WA,93,BOI,"Boise, ID",ID,83,1420,1540,1620,1737,0,0,224
1/8/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,602,715,713,0,0,250
1/8/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1724,1847,1846,0,0,250
1/8/2022 0:00,AS,2152,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1315,1317,1433,1428,0,0,250
1/9/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,558,715,710,0,0,250
1/9/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1738,1847,1850,0,0,250
1/9/2022 0:00,AS,2152,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1315,1326,1433,1433,0,0,250
1/9/2022 0:00,AS,2492,PUW,"Pullman, WA",WA,93,BOI,"Boise, ID",ID,83,1420,1424,1620,1618,0,0,224
1/10/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,550,715,701,0,0,250
1/10/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1730,1847,1847,0,0,250
1/10/2022 0:00,AS,2152,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1315,1314,1433,1437,0,0,250
1/10/2022 0:00,AS,2492,PUW,"Pullman, WA",WA,93,BOI,"Boise, ID",ID,83,1420,1414,1620,1609,0,0,224
1/11/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,555,715,728,0,0,250
1/11/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1726,1847,1841,0,0,250
1/11/2022 0:00,AS,2152,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1315,1308,1433,1429,0,0,250
1/12/2022 0:00,AS,2067,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,600,555,715,714,0,0,250
1/12/2022 0:00,AS,2144,PUW,"Pullman, WA",WA,93,SEA,"Seattle, WA",WA,93,1730,1727,1847,1849,0,0,250
