FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1538,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,1056,1051,1225,1206,0,0,257
1/1/2022 0:00,AA,1836,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,1824,1911,1948,2019,0,0,257
1/1/2022 0:00,AA,1911,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,615,609,752,726,0,0,257
1/1/2022 0:00,AA,1915,RIC,"Richmond, VA",VA,38,DFW,"Dallas/Fort Worth, TX",TX,74,1533,1522,1809,1820,0,0,1158
1/1/2022 0:00,AA,2204,RIC,"Richmond, VA",VA,38,DFW,"Dallas/Fort Worth, TX",TX,74,655,655,942,910,0,0,1158
1/1/2022 0:00,AA,3993,RIC,"Richmond, VA",VA,38,MIA,"Miami, FL",FL,33,1855,1855,2124,2124,0,0,825
1/1/2022 0:00,AA,4156,RIC,"Richmond, VA",VA,38,ORD,"Chicago, IL",IL,41,1423,,1546,,1,0,642
1/1/2022 0:00,AA,4603,RIC,"Richmond, VA",VA,38,LGA,"New York, NY",NY,22,1324,1322,1500,1436,0,0,292
1/1/2022 0:00,AA,4763,RIC,"Richmond, VA",VA,38,LGA,"New York, NY",NY,22,945,951,1110,1102,0,0,292
1/1/2022 0:00,AA,5156,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,852,845,1025,1019,0,0,257
1/1/2022 0:00,AA,5475,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,1604,1558,1731,1713,0,0,257
1/1/2022 0:00,AA,5598,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,1400,1349,1524,1515,0,0,257
1/1/2022 0:00,AA,604,RIC,"Richmond, VA",VA,38,MIA,"Miami, FL",FL,33,644,629,932,842,0,0,825
1/1/2022 0:00,AA,6076,RIC,"Richmond, VA",VA,38,PHL,"Philadelphia, PA",PA,23,1700,1658,1809,1911,0,0,198
1/1/2022 0:00,AA,6088,RIC,"Richmond, VA",VA,38,PHL,"Philadelphia, PA",PA,23,830,822,940,924,0,0,198
1/1/2022 0:00,AA,6184,RIC,"Richmond, VA",VA,38,PHL,"Philadelphia, PA",PA,23,710,707,817,812,0,0,198
1/1/2022 0:00,B6,1145,RIC,"Richmond, VA",VA,38,FLL,"Fort Lauderdale, FL",FL,33,600,,824,,1,0,805
1/1/2022 0:00,B6,1482,RIC,"Richmond, VA",VA,38,BOS,"Boston, MA",MA,13,1140,1218,1309,1356,0,0,474
1/1/2022 0:00,B6,1593,RIC,"Richmond, VA",VA,38,TPA,"Tampa, FL",FL,33,1325,1317,1537,1515,0,0,723
1/1/2022 0:00,B6,169,RIC,"Richmond, VA",VA,38,MCO,"Orlando, FL",FL,33,1845,,2054,,1,0,667
1/1/2022 0:00,B6,382,RIC,"Richmond, VA",VA,38,BOS,"Boston, MA",MA,13,700,,831,,1,0,474
1/1/2022 0:00,B6,969,RIC,"Richmond, VA",VA,38,MCO,"Orlando, FL",FL,33,800,1006,1014,1155,0,0,667
1/1/2022 0:00,DL,1675,RIC,"Richmond, VA",VA,38,ATL,"Atlanta, GA",GA,34,1650,1732,1840,1908,0,0,481
1/1/2022 0:00,DL,2351,RIC,"Richmond, VA",VA,38,ATL,"Atlanta, GA",GA,34,1300,1300,1448,1444,0,0,481
1/1/2022 0:00,DL,2532,RIC,"Richmond, VA",VA,38,ATL,"Atlanta, GA",GA,34,700,746,859,919,0,0,481
1/1/2022 0:00,DL,2798,RIC,"Richmond, VA",VA,38,ATL,"Atlanta, GA",GA,34,1000,952,1140,1127,0,0,481
1/1/2022 0:00,DL,4090,RIC,"Richmond, VA",VA,38,MSP,"Minneapolis, MN",MN,63,600,554,809,804,0,0,970
1/1/2022 0:00,DL,4501,RIC,"Richmond, VA",VA,38,DTW,"Detroit, MI",MI,43,1236,1237,1428,1422,0,0,456
1/1/2022 0:00,DL,4799,RIC,"Richmond, VA",VA,38,BOS,"Boston, MA",MA,13,850,841,1034,1005,0,0,474
1/1/2022 0:00,DL,5107,RIC,"Richmond, VA",VA,38,JFK,"New York, NY",NY,22,1703,1907,1843,2023,0,0,288
1/1/2022 0:00,DL,5299,RIC,"Richmond, VA",VA,38,LGA,"New York, NY",NY,22,1400,1359,1524,1513,0,0,292
1/1/2022 0:00,DL,5513,RIC,"Richmond, VA",VA,38,LGA,"New York, NY",NY,22,900,854,1019,1005,0,0,292
1/1/2022 0:00,G4,2595,RIC,"Richmond, VA",VA,38,SRQ,"Sarasota/Bradenton, FL",FL,33,2030,2026,2242,2239,0,0,760
1/1/2022 0:00,NK,1735,RIC,"Richmond, VA",VA,38,FLL,"Fort Lauderdale, FL",FL,33,1144,1150,1415,1400,0,0,805
1/1/2022 0:00,NK,841,RIC,"Richmond, VA",VA,38,MCO,"Orlando, FL",FL,33,625,,853,,1,0,667
1/1/2022 0:00,UA,1643,RIC,"Richmond, VA",VA,38,DEN,"Denver, CO",CO,82,800,802,1021,1136,0,0,1482
1/1/2022 0:00,UA,1979,RIC,"Richmond, VA",VA,38,DEN,"Denver, CO",CO,82,1550,1630,1810,1856,0,0,1482
1/1/2022 0:00,UA,2234,RIC,"Richmond, VA",VA,38,ORD,"Chicago, IL",IL,41,645,636,804,805,0,0,642
1/1/2022 0:00,UA,4173,RIC,"Richmond, VA",VA,38,EWR,"Newark, NJ",NJ,21,1400,1355,1537,1530,0,0,277
1/1/2022 0:00,UA,4453,RIC,"Richmond, VA",VA,38,IAD,"Washington, DC",VA,38,826,816,928,904,0,0,100
1/1/2022 0:00,UA,4516,RIC,"Richmond, VA",VA,38,EWR,"Newark, NJ",NJ,21,1202,1152,1325,1311,0,0,277
1/1/2022 0:00,UA,4517,RIC,"Richmond, VA",VA,38,ORD,"Chicago, IL",IL,41,1718,,1841,,1,0,642
1/1/2022 0:00,UA,4519,RIC,"Richmond, VA",VA,38,IAD,"Washington, DC",VA,38,1455,1702,1550,1809,0,0,100
1/1/2022 0:00,UA,4528,RIC,"Richmond, VA",VA,38,EWR,"Newark, NJ",NJ,21,1850,2129,2027,2327,0,0,277
1/1/2022 0:00,UA,4571,RIC,"Richmond, VA",VA,38,EWR,"Newark, NJ",NJ,21,628,624,759,805,0,0,277
1/1/2022 0:00,UA,4577,RIC,"Richmond, VA",VA,38,IAD,"Washington, DC",VA,38,2021,2043,2115,2134,0,0,100
1/1/2022 0:00,UA,4579,RIC,"Richmond, VA",VA,38,EWR,"Newark, NJ",NJ,21,1738,,1915,,1,0,277
1/1/2022 0:00,UA,4613,RIC,"Richmond, VA",VA,38,EWR,"Newark, NJ",NJ,21,915,906,1046,1027,0,0,277
1/1/2022 0:00,UA,4615,RIC,"Richmond, VA",VA,38,ORD,"Chicago, IL",IL,41,1315,,1435,,1,0,642
1/1/2022 0:00,UA,6277,RIC,"Richmond, VA",VA,38,IAH,"Houston, TX",TX,74,1431,1518,1715,1734,0,0,1157
1/1/2022 0:00,WN,2644,RIC,"Richmond, VA",VA,38,ATL,"Atlanta, GA",GA,34,555,602,750,739,0,0,481
1/1/2022 0:00,WN,3245,RIC,"Richmond, VA",VA,38,MDW,"Chicago, IL",IL,41,1635,,1750,,1,0,629
1/1/2022 0:00,WN,3438,RIC,"Richmond, VA",VA,38,ATL,"Atlanta, GA",GA,34,1250,1246,1440,1424,0,0,481
1/2/2022 0:00,AA,1538,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,1056,1052,1225,1219,0,0,257
1/2/2022 0:00,AA,1836,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,1824,1822,1948,2009,0,0,257
1/2/2022 0:00,AA,1909,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,2007,2019,2132,2133,0,0,257
1/2/2022 0:00,AA,1911,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,615,610,752,717,0,0,257
1/2/2022 0:00,AA,1915,RIC,"Richmond, VA",VA,38,DFW,"Dallas/Fort Worth, TX",TX,74,1533,,1809,,1,0,1158
1/2/2022 0:00,AA,2204,RIC,"Richmond, VA",VA,38,DFW,"Dallas/Fort Worth, TX",TX,74,655,705,942,945,0,0,1158
1/2/2022 0:00,AA,3860,RIC,"Richmond, VA",VA,38,ORD,"Chicago, IL",IL,41,800,811,925,922,0,0,642
1/2/2022 0:00,AA,3993,RIC,"Richmond, VA",VA,38,MIA,"Miami, FL",FL,33,1855,1951,2124,2219,0,0,825
1/2/2022 0:00,AA,4156,RIC,"Richmond, VA",VA,38,ORD,"Chicago, IL",IL,41,1353,,1515,,1,0,642
1/2/2022 0:00,AA,4536,RIC,"Richmond, VA",VA,38,JFK,"New York, NY",NY,22,1236,1307,1359,1428,0,0,288
1/2/2022 0:00,AA,4603,RIC,"Richmond, VA",VA,38,LGA,"New York, NY",NY,22,1748,,1919,,1,0,292
1/2/2022 0:00,AA,4712,RIC,"Richmond, VA",VA,38,JFK,"New York, NY",NY,22,1139,1139,1300,1258,0,0,288
1/2/2022 0:00,AA,4763,RIC,"Richmond, VA",VA,38,LGA,"New York, NY",NY,22,1044,1034,1206,1149,0,0,292
1/2/2022 0:00,AA,4787,RIC,"Richmond, VA",VA,38,LGA,"New York, NY",NY,22,545,537,659,648,0,0,292
1/2/2022 0:00,AA,5156,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,852,851,1025,1027,0,0,257
1/2/2022 0:00,AA,5475,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,1604,2037,1731,2218,0,0,257
1/2/2022 0:00,AA,5598,RIC,"Richmond, VA",VA,38,CLT,"Charlotte, NC",NC,36,1400,1408,1524,1525,0,0,257
1/2/2022 0:00,AA,604,RIC,"Richmond, VA",VA,38,MIA,"Miami, FL",FL,33,632,625,920,847,0,0,825
1/2/2022 0:00,AA,6076,RIC,"Richmond, VA",VA,38,PHL,"Philadelphia, PA",PA,23,1700,1658,1809,1808,0,0,198
1/2/2022 0:00,AA,6088,RIC,"Richmond, VA",VA,38,PHL,"Philadelphia, PA",PA,23,830,850,940,953,0,0,198
1/2/2022 0:00,AA,6184,RIC,"Richmond, VA",VA,38,PHL,"Philadelphia, PA",PA,23,710,841,817,944,0,0,198
1/2/2022 0:00,AA,6194,RIC,"Richmond, VA",VA,38,PHL,"Philadelphia, PA",PA,23,1143,1218,1250,1321,0,0,198
