FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2986,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,650,924,1123,0,0,551
1/1/2022 0:00,AA,2995,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1855,1900,2040,2028,0,0,370
1/1/2022 0:00,AA,3133,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1449,1449,1740,1756,0,0,551
1/1/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1635,,1921,,1,0,551
1/1/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,,904,,1,0,303
1/1/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1320,,1500,,1,0,303
1/2/2022 0:00,AA,2986,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,618,924,1002,0,0,551
1/2/2022 0:00,AA,2995,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1538,1531,1715,1659,0,0,370
1/2/2022 0:00,AA,3133,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1449,1444,1740,1727,0,0,551
1/2/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1019,1009,1307,1258,0,0,551
1/2/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1635,1625,1921,1932,0,0,551
1/2/2022 0:00,AA,3292,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1145,,1327,,1,0,370
1/2/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,,904,,1,0,303
1/2/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1320,1425,1500,1603,0,0,303
1/3/2022 0:00,AA,2986,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,619,924,1026,0,0,551
1/3/2022 0:00,AA,2995,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1538,1557,1715,1728,0,0,370
1/3/2022 0:00,AA,3133,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1449,1516,1740,1747,0,0,551
1/3/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1019,1027,1307,1258,0,0,551
1/3/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1635,1634,1921,1910,0,0,551
1/3/2022 0:00,AA,3292,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1145,1213,1327,1343,0,0,370
1/3/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,,904,,1,0,303
1/3/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1320,1319,1500,1437,0,0,303
1/4/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1019,1316,1301,0,0,551
1/4/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,612,930,906,0,0,551
1/4/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1641,1939,1914,0,0,551
1/4/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1743,1928,1904,0,0,370
1/4/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,,904,,1,0,303
1/4/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1313,1317,1457,1439,0,0,303
1/5/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1021,1316,1301,0,0,551
1/5/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,618,930,859,0,0,551
1/5/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1640,1939,1910,0,0,551
1/5/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1854,1928,2020,0,0,370
1/5/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,727,904,855,0,0,303
1/5/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1313,,1457,,1,0,303
1/6/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1019,1316,1302,0,0,551
1/6/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,615,930,914,0,0,551
1/6/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1641,1939,1915,0,0,551
1/6/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1838,1845,2020,2032,0,0,370
1/6/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,717,904,851,0,0,303
1/6/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1308,1459,1447,0,0,303
1/7/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1015,1316,1252,0,0,551
1/7/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,616,930,924,0,0,551
1/7/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1641,1939,1918,0,0,551
1/7/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1838,1828,2020,1959,0,0,370
1/7/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,718,904,902,0,0,303
1/7/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1303,1459,1442,0,0,303
1/8/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1017,1316,1301,0,0,551
1/8/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,1129,930,1409,0,0,551
1/8/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1858,1939,2137,0,0,551
1/8/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1807,1928,1926,0,0,370
1/8/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,824,904,948,0,0,303
1/8/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1313,1315,1457,1444,0,0,303
1/9/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1015,1316,1252,0,0,551
1/9/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,614,930,917,0,0,551
1/9/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1755,1939,2028,0,0,551
1/9/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1838,1827,2020,1959,0,0,370
1/9/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,,904,,1,0,303
1/9/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1309,1459,1454,0,0,303
1/10/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1018,1316,1259,0,0,551
1/10/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,618,930,943,0,0,551
1/10/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1636,1939,1921,0,0,551
1/10/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1742,1928,1925,0,0,370
1/10/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,718,904,906,0,0,303
1/10/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1407,1459,1540,0,0,303
1/11/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1046,1316,1322,0,0,551
1/11/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,625,930,942,0,0,551
1/11/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1638,1939,2008,0,0,551
1/11/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1744,1928,1901,0,0,370
1/11/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,725,904,912,0,0,303
1/11/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1313,1313,1457,1440,0,0,303
1/12/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1025,1316,1309,0,0,551
1/12/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,618,930,901,0,0,551
1/12/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1744,1928,1930,0,0,370
1/12/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,719,904,834,0,0,303
1/12/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1313,1312,1457,1434,0,0,303
1/13/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1037,1316,1312,0,0,551
1/13/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,620,930,911,0,0,551
1/13/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1638,1939,1918,0,0,551
1/13/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1838,1828,2020,2011,0,0,370
1/13/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,715,904,841,0,0,303
1/13/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1306,1459,1424,0,0,303
1/14/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1019,1316,1256,0,0,551
1/14/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,623,930,903,0,0,551
1/14/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1649,1939,1922,0,0,551
1/14/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1838,1826,2020,2000,0,0,370
1/14/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,715,904,903,0,0,303
1/14/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1327,1459,1549,0,0,303
1/15/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1023,1316,1259,0,0,551
1/15/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,621,930,928,0,0,551
1/15/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,2004,1928,2131,0,0,370
1/15/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,722,904,904,0,0,303
1/15/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1313,1314,1457,1444,0,0,303
1/16/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1023,1316,1259,0,0,551
1/16/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,628,930,939,0,0,551
1/16/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1637,1939,1912,0,0,551
1/16/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1838,1832,2020,1952,0,0,370
1/16/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,833,904,1018,0,0,303
1/16/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1315,1459,1440,0,0,303
1/17/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1014,1316,1302,0,0,551
1/17/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,615,930,856,0,0,551
1/17/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1637,1939,1944,0,0,551
1/17/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1744,1928,1907,0,0,370
1/17/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,732,904,917,0,0,303
1/17/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1307,1459,1443,0,0,303
1/18/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1041,1316,1310,0,0,551
1/18/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,614,930,845,0,0,551
1/18/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1645,1939,2008,0,0,551
1/18/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1756,1928,1917,0,0,370
1/18/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,715,904,833,0,0,303
1/18/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1313,1313,1457,1428,0,0,303
1/19/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1014,1316,1248,0,0,551
1/19/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,615,930,906,0,0,551
1/19/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1753,1749,1928,1928,0,0,370
1/19/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,715,904,923,0,0,303
1/19/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1313,1328,1457,1505,0,0,303
1/20/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1014,1316,1254,0,0,551
1/20/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,616,930,924,0,0,551
1/20/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1647,1648,1939,1938,0,0,551
1/20/2022 0:00,AA,3251,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1838,1827,2020,2010,0,0,370
1/20/2022 0:00,UA,4280,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,725,,904,,1,0,303
1/20/2022 0:00,UA,4351,SAF,"Santa Fe, NM",NM,86,DEN,"Denver, CO",CO,82,1315,1303,1459,1419,0,0,303
1/21/2022 0:00,AA,3179,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1024,1021,1316,1250,0,0,551
1/21/2022 0:00,AA,3181,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,618,930,910,0,0,551
