FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,G4,1056,SFB,"Sanford, FL",FL,33,GRR,"Grand Rapids, MI",MI,43,1514,1547,1747,1815,0,0,1001
1/1/2022 0:00,G4,1085,SFB,"Sanford, FL",FL,33,IND,"Indianapolis, IN",IN,42,2101,2101,2315,2305,0,0,807
1/1/2022 0:00,G4,2230,SFB,"Sanford, FL",FL,33,TOL,"Toledo, OH",OH,44,1632,,1852,,1,0,895
1/1/2022 0:00,G4,2236,SFB,"Sanford, FL",FL,33,USA,"Concord, NC",NC,36,1205,1203,1335,1327,0,0,457
1/1/2022 0:00,G4,2275,SFB,"Sanford, FL",FL,33,PBG,"Plattsburgh, NY",NY,22,1230,1226,1515,1505,0,0,1175
1/1/2022 0:00,G4,2281,SFB,"Sanford, FL",FL,33,HTS,"Ashland, WV",WV,39,1744,1806,1933,1949,0,0,665
1/1/2022 0:00,G4,2307,SFB,"Sanford, FL",FL,33,BIS,"Bismarck/Mandan, ND",ND,66,1220,,1519,,1,0,1628
1/1/2022 0:00,G4,2338,SFB,"Sanford, FL",FL,33,TYS,"Knoxville, TN",TN,54,1200,1158,1332,1324,0,0,511
1/1/2022 0:00,G4,2366,SFB,"Sanford, FL",FL,33,MDT,"Harrisburg, PA",PA,23,1634,1626,1844,1824,0,0,827
1/1/2022 0:00,G4,2395,SFB,"Sanford, FL",FL,33,LCK,"Columbus, OH",OH,44,1210,1228,1413,1424,0,0,767
1/1/2022 0:00,G4,2424,SFB,"Sanford, FL",FL,33,FNT,"Flint, MI",MI,43,1401,1700,1637,1928,0,0,988
1/1/2022 0:00,G4,2440,SFB,"Sanford, FL",FL,33,OKC,"Oklahoma City, OK",OK,73,1235,1235,1436,1427,0,0,1061
1/1/2022 0:00,G4,2500,SFB,"Sanford, FL",FL,33,SBN,"South Bend, IN",IN,42,1240,1319,1504,1537,0,0,936
1/1/2022 0:00,G4,2518,SFB,"Sanford, FL",FL,33,FSD,"Sioux Falls, SD",SD,67,1225,1231,1451,1448,0,0,1334
1/1/2022 0:00,G4,322,SFB,"Sanford, FL",FL,33,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,2027,2102,2245,2323,0,0,882
1/1/2022 0:00,G4,3721,SFB,"Sanford, FL",FL,33,EYW,"Key West, FL",FL,33,800,,910,,1,0,292
1/1/2022 0:00,G4,383,SFB,"Sanford, FL",FL,33,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,1407,,1625,,1,0,882
1/1/2022 0:00,G4,452,SFB,"Sanford, FL",FL,33,AVL,"Asheville, NC",NC,36,1413,1413,1542,1535,0,0,465
1/1/2022 0:00,G4,481,SFB,"Sanford, FL",FL,33,AVL,"Asheville, NC",NC,36,2005,2003,2134,2124,0,0,465
1/1/2022 0:00,G4,741,SFB,"Sanford, FL",FL,33,CVG,"Cincinnati, OH",KY,52,1415,,1622,,1,0,735
1/2/2022 0:00,G4,1050,SFB,"Sanford, FL",FL,33,GRR,"Grand Rapids, MI",MI,43,1610,1731,1843,1954,0,0,1001
1/2/2022 0:00,G4,1146,SFB,"Sanford, FL",FL,33,IND,"Indianapolis, IN",IN,42,1006,1027,1220,1232,0,0,807
