FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3028,SGU,"St. George, UT",UT,87,PHX,"Phoenix, AZ",AZ,81,1414,1405,1527,1506,0,0,262
1/1/2022 0:00,DL,4235,SGU,"St. George, UT",UT,87,SLC,"Salt Lake City, UT",UT,87,715,710,835,818,0,0,272
1/1/2022 0:00,DL,4318,SGU,"St. George, UT",UT,87,SLC,"Salt Lake City, UT",UT,87,1745,1740,1909,1846,0,0,272
1/1/2022 0:00,DL,4337,SGU,"St. George, UT",UT,87,SLC,"Salt Lake City, UT",UT,87,1138,1138,1257,1244,0,0,272
1/1/2022 0:00,UA,5028,SGU,"St. George, UT",UT,87,DEN,"Denver, CO",CO,82,1430,1507,1618,1703,0,0,517
1/1/2022 0:00,UA,5141,SGU,"St. George, UT",UT,87,DEN,"Denver, CO",CO,82,705,,900,,1,0,517
1/2/2022 0:00,AA,3028,SGU,"St. George, UT",UT,87,PHX,"Phoenix, AZ",AZ,81,1414,1443,1527,1540,0,0,262
1/2/2022 0:00,AA,3117,SGU,"St. George, UT",UT,87,PHX,"Phoenix, AZ",AZ,81,730,727,850,846,0,0,262
1/2/2022 0:00,DL,4235,SGU,"St. George, UT",UT,87,SLC,"Salt Lake City, UT",UT,87,615,612,733,747,0,0,272
1/2/2022 0:00,DL,4282,SGU,"St. George, UT",UT,87,SLC,"Salt Lake City, UT",UT,87,1955,,2115,,1,0,272
1/2/2022 0:00,DL,4318,SGU,"St. George, UT",UT,87,SLC,"Salt Lake City, UT",UT,87,1531,1524,1645,1702,0,0,272
1/2/2022 0:00,DL,4337,SGU,"St. George, UT",UT,87,SLC,"Salt Lake City, UT",UT,87,1138,1126,1257,1241,0,0,272
1/2/2022 0:00,UA,5028,SGU,"St. George, UT",UT,87,DEN,"Denver, CO",CO,82,1430,1425,1618,1621,0,0,517
1/2/2022 0:00,UA,5141,SGU,"St. George, UT",UT,87,DEN,"Denver, CO",CO,82,605,610,800,815,0,0,517
