FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1240,1237,1345,1332,0,0,541
1/1/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,831,829,926,918,0,0,91
1/2/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1240,1235,1345,1339,0,0,541
1/2/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,831,,926,,1,0,91
1/3/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1240,1233,1345,1330,0,0,541
1/3/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,831,,926,,1,0,91
1/4/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1410,1355,1457,0,0,541
1/4/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,824,929,931,0,0,91
1/5/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1241,1355,1338,0,0,541
1/5/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,825,929,927,0,0,91
1/6/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1241,1355,1342,0,0,541
1/6/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,823,929,916,0,0,91
1/7/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1420,1355,1515,0,0,541
1/7/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,829,929,934,0,0,91
1/8/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1244,1355,1414,0,0,541
1/8/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,1029,929,1136,0,0,91
1/9/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1250,1355,1334,0,0,541
1/9/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,1630,929,1727,0,0,91
1/10/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1237,1355,1336,0,0,541
1/10/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,825,929,906,0,0,91
1/11/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1240,1355,1334,0,0,541
1/11/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,824,929,930,0,0,91
1/12/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1235,1355,1326,0,0,541
1/12/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,824,929,907,0,0,91
1/13/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1244,1355,1328,0,0,541
1/13/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,832,929,915,0,0,91
1/14/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1339,1355,1443,0,0,541
1/14/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,825,929,908,0,0,91
1/15/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1241,1355,1335,0,0,541
1/15/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,825,929,935,0,0,91
1/16/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1238,1355,1342,0,0,541
1/16/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,,929,,1,0,91
1/17/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1245,1355,1332,0,0,541
1/17/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,,929,,1,0,91
1/18/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1242,1355,1337,0,0,541
1/18/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,825,929,910,0,0,91
1/19/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1306,1355,1351,0,0,541
1/19/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,828,929,917,0,0,91
1/20/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1239,1355,1320,0,0,541
1/20/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,1111,929,1200,0,0,91
1/21/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1245,1355,1359,0,0,541
1/21/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,824,929,916,0,0,91
1/22/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1621,1355,1717,0,0,541
1/22/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,822,929,922,0,0,91
1/23/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1240,1355,1322,0,0,541
1/23/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,834,1030,929,1119,0,0,91
1/24/2022 0:00,UA,5106,SHD,"Staunton, VA",VA,38,ORD,"Chicago, IL",IL,41,1250,1426,1355,1531,0,0,541
