FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1142,1201,1317,1414,0,0,359
1/1/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,725,,900,,1,0,359
1/2/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1142,1147,1317,1309,0,0,359
1/2/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,535,1041,710,1154,0,0,359
1/3/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1142,1142,1317,1302,0,0,359
1/3/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,535,525,710,655,0,0,359
1/4/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,525,518,700,645,0,0,359
1/5/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1145,1205,1320,1350,0,0,359
1/5/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,524,705,705,0,0,359
1/6/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,1010,705,1151,0,0,359
1/7/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1145,1221,1320,1342,0,0,359
1/7/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,,705,,1,0,359
1/8/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1143,1140,1318,1256,0,0,359
1/8/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,525,522,700,637,0,0,359
1/9/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1143,1338,1318,1501,0,0,359
1/9/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,529,705,718,0,0,359
1/10/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1145,1137,1320,1254,0,0,359
1/10/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,523,705,702,0,0,359
1/11/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,525,516,700,646,0,0,359
1/12/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1145,1136,1320,1255,0,0,359
1/12/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,522,705,645,0,0,359
1/13/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,531,705,653,0,0,359
1/14/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1145,1145,1320,1313,0,0,359
1/14/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,524,705,714,0,0,359
1/15/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1143,1248,1318,1359,0,0,359
1/15/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,525,517,700,648,0,0,359
1/16/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1143,1137,1318,1249,0,0,359
1/16/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,719,705,844,0,0,359
1/17/2022 0:00,UA,5120,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,1145,1201,1320,1320,0,0,359
1/17/2022 0:00,UA,5185,SHR,"Sheridan, WY",WY,88,DEN,"Denver, CO",CO,82,530,525,705,701,0,0,359
