FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1857,SRQ,"Sarasota/Bradenton, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,730,723,929,909,0,0,945
1/1/2022 0:00,AA,2146,SRQ,"Sarasota/Bradenton, FL",FL,33,ORD,"Chicago, IL",IL,41,1456,,1705,,1,0,1050
1/1/2022 0:00,AA,2604,SRQ,"Sarasota/Bradenton, FL",FL,33,CLT,"Charlotte, NC",NC,36,1242,1237,1430,1425,0,0,547
1/1/2022 0:00,AA,2679,SRQ,"Sarasota/Bradenton, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1644,1647,1845,1841,0,0,945
1/1/2022 0:00,AA,2745,SRQ,"Sarasota/Bradenton, FL",FL,33,DCA,"Washington, DC",VA,38,1200,1157,1414,1410,0,0,851
1/1/2022 0:00,AA,3540,SRQ,"Sarasota/Bradenton, FL",FL,33,DCA,"Washington, DC",VA,38,1742,1859,1959,2107,0,0,851
1/1/2022 0:00,AA,4331,SRQ,"Sarasota/Bradenton, FL",FL,33,AUS,"Austin, TX",TX,74,1725,1737,1910,1906,0,0,936
1/1/2022 0:00,AA,4647,SRQ,"Sarasota/Bradenton, FL",FL,33,PHL,"Philadelphia, PA",PA,23,1416,1423,1657,1705,0,0,957
1/1/2022 0:00,AA,4924,SRQ,"Sarasota/Bradenton, FL",FL,33,CLT,"Charlotte, NC",NC,36,1007,1004,1158,1152,0,0,547
1/1/2022 0:00,AA,5079,SRQ,"Sarasota/Bradenton, FL",FL,33,CLT,"Charlotte, NC",NC,36,1731,1725,1923,1915,0,0,547
1/1/2022 0:00,AA,5249,SRQ,"Sarasota/Bradenton, FL",FL,33,CLT,"Charlotte, NC",NC,36,1125,1134,1323,1329,0,0,547
1/1/2022 0:00,B6,2332,SRQ,"Sarasota/Bradenton, FL",FL,33,LGA,"New York, NY",NY,22,1857,1854,2139,2121,0,0,1047
1/1/2022 0:00,B6,2864,SRQ,"Sarasota/Bradenton, FL",FL,33,JFK,"New York, NY",NY,22,1151,,1429,,1,0,1041
1/1/2022 0:00,B6,448,SRQ,"Sarasota/Bradenton, FL",FL,33,EWR,"Newark, NJ",NJ,21,1258,1309,1541,1614,0,0,1034
1/1/2022 0:00,B6,940,SRQ,"Sarasota/Bradenton, FL",FL,33,BOS,"Boston, MA",MA,13,1356,,1702,,1,0,1220
1/1/2022 0:00,DL,1244,SRQ,"Sarasota/Bradenton, FL",FL,33,DTW,"Detroit, MI",MI,43,1630,,1918,,1,0,1022
1/1/2022 0:00,DL,1497,SRQ,"Sarasota/Bradenton, FL",FL,33,ATL,"Atlanta, GA",GA,34,1245,1241,1424,1427,0,0,444
