FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1271,TPA,"Tampa, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1130,1123,1328,1252,0,0,929
1/1/2022 0:00,AA,1369,TPA,"Tampa, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,716,724,918,903,0,0,929
1/1/2022 0:00,AA,1399,TPA,"Tampa, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1542,1539,1739,1735,0,0,929
1/1/2022 0:00,AA,1418,TPA,"Tampa, FL",FL,33,ORD,"Chicago, IL",IL,41,1542,,1748,,1,0,1011
1/1/2022 0:00,AA,1518,TPA,"Tampa, FL",FL,33,DCA,"Washington, DC",VA,38,1529,1533,1741,1737,0,0,814
1/1/2022 0:00,AA,1557,TPA,"Tampa, FL",FL,33,ORD,"Chicago, IL",IL,41,740,747,945,926,0,0,1011
1/1/2022 0:00,AA,1686,TPA,"Tampa, FL",FL,33,CLT,"Charlotte, NC",NC,36,601,628,745,811,0,0,507
1/1/2022 0:00,AA,1704,TPA,"Tampa, FL",FL,33,CLT,"Charlotte, NC",NC,36,817,818,1009,959,0,0,507
1/1/2022 0:00,AA,1740,TPA,"Tampa, FL",FL,33,MIA,"Miami, FL",FL,33,600,553,707,646,0,0,204
1/1/2022 0:00,AA,1744,TPA,"Tampa, FL",FL,33,MIA,"Miami, FL",FL,33,800,756,913,904,0,0,204
1/1/2022 0:00,AA,2019,TPA,"Tampa, FL",FL,33,DCA,"Washington, DC",VA,38,1321,1332,1532,1529,0,0,814
1/1/2022 0:00,AA,2033,TPA,"Tampa, FL",FL,33,MIA,"Miami, FL",FL,33,2040,2032,2148,2134,0,0,204
1/1/2022 0:00,AA,2071,TPA,"Tampa, FL",FL,33,PHX,"Phoenix, AZ",AZ,81,610,607,855,847,0,0,1788
1/1/2022 0:00,AA,2079,TPA,"Tampa, FL",FL,33,PHL,"Philadelphia, PA",PA,23,1800,1751,2028,2009,0,0,920
1/1/2022 0:00,AA,2155,TPA,"Tampa, FL",FL,33,RDU,"Raleigh/Durham, NC",NC,36,740,741,932,920,0,0,587
1/1/2022 0:00,AA,2645,TPA,"Tampa, FL",FL,33,PHL,"Philadelphia, PA",PA,23,1629,1637,1900,1857,0,0,920
1/1/2022 0:00,AA,2710,TPA,"Tampa, FL",FL,33,CLT,"Charlotte, NC",NC,36,1205,1203,1349,1344,0,0,507
1/1/2022 0:00,AA,2714,TPA,"Tampa, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1337,1330,1535,1511,0,0,929
1/1/2022 0:00,AA,2898,TPA,"Tampa, FL",FL,33,CLT,"Charlotte, NC",NC,36,1020,1017,1203,1158,0,0,507
1/1/2022 0:00,AA,3925,TPA,"Tampa, FL",FL,33,AUS,"Austin, TX",TX,74,1314,1345,1455,1523,0,0,928
1/1/2022 0:00,AA,436,TPA,"Tampa, FL",FL,33,CLT,"Charlotte, NC",NC,36,1346,1345,1528,1522,0,0,507
1/1/2022 0:00,AA,4566,TPA,"Tampa, FL",FL,33,BNA,"Nashville, TN",TN,54,1445,1528,1542,1620,0,0,612
1/1/2022 0:00,AA,467,TPA,"Tampa, FL",FL,33,DCA,"Washington, DC",VA,38,923,921,1133,1119,0,0,814
1/1/2022 0:00,AA,4677,TPA,"Tampa, FL",FL,33,BNA,"Nashville, TN",TN,54,929,1005,1025,1100,0,0,612
