FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,G4,2453,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,1420,1414,1547,1540,0,0,457
1/1/2022 0:00,G4,751,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1711,,1852,,1,0,528
1/1/2022 0:00,G4,943,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1357,1459,1554,1647,0,0,643
1/2/2022 0:00,G4,1790,USA,"Concord, NC",NC,36,PGD,"Punta Gorda, FL",FL,33,905,857,1045,1044,0,0,588
1/2/2022 0:00,G4,1896,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1304,1257,1445,1435,0,0,528
1/2/2022 0:00,G4,2277,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,1412,1427,1539,1553,0,0,457
1/2/2022 0:00,G4,2330,USA,"Concord, NC",NC,36,MLB,"Melbourne, FL",FL,33,1529,,1701,,1,0,502
1/2/2022 0:00,G4,964,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,2004,,2201,,1,0,643
1/3/2022 0:00,G4,1723,USA,"Concord, NC",NC,36,PGD,"Punta Gorda, FL",FL,33,2202,2253,2342,46,0,0,588
1/3/2022 0:00,G4,1900,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,839,,1020,,1,0,528
1/3/2022 0:00,G4,453,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1425,,1622,,1,0,643
1/3/2022 0:00,G4,822,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,1928,1947,2055,2110,0,0,457
1/3/2022 0:00,G4,964,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1512,,1709,,1,0,643
1/5/2022 0:00,G4,897,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1245,1255,1444,1440,0,0,643
1/6/2022 0:00,G4,319,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,1655,1647,1823,1813,0,0,457
1/6/2022 0:00,G4,609,USA,"Concord, NC",NC,36,MLB,"Melbourne, FL",FL,33,1847,,2019,,1,0,502
1/6/2022 0:00,G4,734,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1807,1831,1947,2016,0,0,528
1/6/2022 0:00,G4,906,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1520,1512,1719,1708,0,0,643
1/7/2022 0:00,G4,1733,USA,"Concord, NC",NC,36,PGD,"Punta Gorda, FL",FL,33,2149,,2334,,1,0,588
1/7/2022 0:00,G4,1938,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1519,1507,1659,1644,0,0,528
1/7/2022 0:00,G4,1965,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,950,944,1149,1138,0,0,643
1/7/2022 0:00,G4,2358,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,2204,2156,2332,2316,0,0,457
1/7/2022 0:00,G4,469,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1807,1800,2006,1945,0,0,643
1/8/2022 0:00,G4,897,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1245,1312,1444,1508,0,0,643
1/9/2022 0:00,G4,339,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,1637,1640,1805,1804,0,0,457
1/9/2022 0:00,G4,609,USA,"Concord, NC",NC,36,MLB,"Melbourne, FL",FL,33,1847,1843,2019,2014,0,0,502
1/9/2022 0:00,G4,734,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1831,2035,2011,2214,0,0,528
1/9/2022 0:00,G4,906,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1520,1520,1719,1714,0,0,643
1/10/2022 0:00,G4,1657,USA,"Concord, NC",NC,36,PGD,"Punta Gorda, FL",FL,33,2149,2137,2334,2312,0,0,588
1/10/2022 0:00,G4,1938,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1519,1509,1659,1649,0,0,528
1/10/2022 0:00,G4,1965,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,950,942,1149,1147,0,0,643
1/10/2022 0:00,G4,2358,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,2204,2156,2332,2317,0,0,457
1/10/2022 0:00,G4,488,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1807,1758,2006,1950,0,0,643
1/12/2022 0:00,G4,897,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1245,1237,1444,1427,0,0,643
1/13/2022 0:00,G4,319,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,1655,1704,1823,1834,0,0,457
1/13/2022 0:00,G4,609,USA,"Concord, NC",NC,36,MLB,"Melbourne, FL",FL,33,1847,1836,2019,2020,0,0,502
1/13/2022 0:00,G4,734,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1807,1926,1947,2102,0,0,528
1/13/2022 0:00,G4,906,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1520,,1719,,1,0,643
1/14/2022 0:00,G4,1733,USA,"Concord, NC",NC,36,PGD,"Punta Gorda, FL",FL,33,2149,2218,2334,2,0,0,588
1/14/2022 0:00,G4,1938,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1539,1547,1719,1721,0,0,528
1/14/2022 0:00,G4,1965,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1010,1010,1209,1154,0,0,643
1/14/2022 0:00,G4,2358,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,2204,2211,2332,2329,0,0,457
1/14/2022 0:00,G4,897,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1554,1552,1753,1738,0,0,643
1/15/2022 0:00,G4,897,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1245,1259,1444,1506,0,0,643
1/16/2022 0:00,G4,347,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,1614,,1742,,1,0,457
1/16/2022 0:00,G4,609,USA,"Concord, NC",NC,36,MLB,"Melbourne, FL",FL,33,1847,,2019,,1,0,502
1/16/2022 0:00,G4,734,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1831,,2011,,1,0,528
1/16/2022 0:00,G4,906,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1520,,1719,,1,0,643
1/17/2022 0:00,G4,1657,USA,"Concord, NC",NC,36,PGD,"Punta Gorda, FL",FL,33,2149,2142,2334,2319,0,0,588
1/17/2022 0:00,G4,1938,USA,"Concord, NC",NC,36,PIE,"St. Petersburg, FL",FL,33,1539,,1719,,1,0,528
1/17/2022 0:00,G4,1965,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1010,,1209,,1,0,643
1/17/2022 0:00,G4,2358,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,2204,2305,2332,22,0,0,457
1/17/2022 0:00,G4,897,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1554,1548,1753,1744,0,0,643
1/19/2022 0:00,G4,897,USA,"Concord, NC",NC,36,FLL,"Fort Lauderdale, FL",FL,33,1245,1237,1444,1433,0,0,643
1/20/2022 0:00,G4,319,USA,"Concord, NC",NC,36,SFB,"Sanford, FL",FL,33,1655,1651,1823,1824,0,0,457
1/20/2022 0:00,G4,609,USA,"Concord, NC",NC,36,MLB,"Melbourne, FL",FL,33,1847,1837,2019,2011,0,0,502
