FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,710,708,825,813,0,0,208
1/1/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1318,1313,1431,1421,0,0,208
1/2/2022 0:00,DL,4851,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1738,1140,1856,1257,0,0,208
1/2/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,615,946,725,1051,0,0,208
1/2/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1318,1313,1432,1420,0,0,208
1/3/2022 0:00,DL,4851,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1738,1806,1856,1911,0,0,208
1/3/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,615,,725,,1,0,208
1/3/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1318,1344,1432,1446,0,0,208
1/4/2022 0:00,DL,4851,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1738,1735,1856,1852,0,0,208
1/4/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,615,616,725,723,0,0,208
1/4/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1318,1317,1432,1424,0,0,208
1/5/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,740,859,846,0,0,208
1/5/2022 0:00,DL,5415,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1545,1541,1706,1647,0,0,208
1/6/2022 0:00,DL,4851,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1725,1720,1844,1827,0,0,208
1/6/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,738,859,848,0,0,208
1/6/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1317,1313,1435,1422,0,0,208
1/7/2022 0:00,DL,4851,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1725,1721,1844,1838,0,0,208
1/7/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,737,859,853,0,0,208
1/7/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1317,1329,1435,1442,0,0,208
1/8/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,738,859,938,0,0,208
1/8/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1317,1313,1435,1423,0,0,208
1/9/2022 0:00,DL,4851,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1725,1720,1844,1837,0,0,208
1/9/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,739,859,902,0,0,208
1/9/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1317,1536,1435,1640,0,0,208
1/10/2022 0:00,DL,4851,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1725,1723,1844,1844,0,0,208
1/10/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,738,859,855,0,0,208
1/10/2022 0:00,DL,5149,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1317,1312,1435,1421,0,0,208
1/11/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,738,859,858,0,0,208
1/11/2022 0:00,DL,5415,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1545,1541,1706,1650,0,0,208
1/12/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,739,859,857,0,0,208
1/12/2022 0:00,DL,5415,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1545,1540,1706,1649,0,0,208
1/13/2022 0:00,DL,4851,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,1725,1721,1844,1849,0,0,208
1/13/2022 0:00,DL,4887,VLD,"Valdosta, GA",GA,34,ATL,"Atlanta, GA",GA,34,742,738,859,845,0,0,208
