FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3527,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,715,722,850,838,0,0,280
1/1/2022 0:00,AA,3600,XNA,"Fayetteville, AR",AR,71,MIA,"Miami, FL",FL,33,615,613,1008,1004,0,0,1099
1/1/2022 0:00,AA,3834,XNA,"Fayetteville, AR",AR,71,ORD,"Chicago, IL",IL,41,1022,,1214,,1,0,522
1/1/2022 0:00,AA,3847,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,816,824,948,946,0,0,280
1/1/2022 0:00,AA,3896,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,925,931,1054,1058,0,0,280
1/1/2022 0:00,AA,4030,XNA,"Fayetteville, AR",AR,71,CLT,"Charlotte, NC",NC,36,714,727,1030,1027,0,0,754
1/1/2022 0:00,AA,4148,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1833,2145,2000,2320,0,0,280
1/1/2022 0:00,AA,4202,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1944,1949,2113,2145,0,0,280
1/1/2022 0:00,AA,4228,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1634,1648,1805,1847,0,0,280
1/1/2022 0:00,AA,4369,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1412,1405,1540,1545,0,0,280
1/1/2022 0:00,AA,4789,XNA,"Fayetteville, AR",AR,71,LGA,"New York, NY",NY,22,715,849,1114,1228,0,0,1147
1/1/2022 0:00,DL,5170,XNA,"Fayetteville, AR",AR,71,ATL,"Atlanta, GA",GA,34,730,726,1018,1005,0,0,589
1/1/2022 0:00,DL,5348,XNA,"Fayetteville, AR",AR,71,ATL,"Atlanta, GA",GA,34,1300,1255,1543,1527,0,0,589
1/1/2022 0:00,G4,1287,XNA,"Fayetteville, AR",AR,71,AZA,"Phoenix, AZ",AZ,81,1353,1340,1541,1523,0,0,1006
1/1/2022 0:00,G4,1560,XNA,"Fayetteville, AR",AR,71,PGD,"Punta Gorda, FL",FL,33,1458,,1824,,1,0,970
1/1/2022 0:00,UA,3483,XNA,"Fayetteville, AR",AR,71,EWR,"Newark, NJ",NJ,21,928,959,1329,1334,0,0,1131
1/1/2022 0:00,UA,4262,XNA,"Fayetteville, AR",AR,71,IAH,"Houston, TX",TX,74,1845,1120,2038,1321,0,0,438
1/1/2022 0:00,UA,4365,XNA,"Fayetteville, AR",AR,71,IAH,"Houston, TX",TX,74,640,1036,840,1220,0,0,438
1/1/2022 0:00,UA,4394,XNA,"Fayetteville, AR",AR,71,ORD,"Chicago, IL",IL,41,1124,,1315,,1,0,522
1/1/2022 0:00,UA,4477,XNA,"Fayetteville, AR",AR,71,ORD,"Chicago, IL",IL,41,730,744,921,927,0,0,522
1/1/2022 0:00,UA,4948,XNA,"Fayetteville, AR",AR,71,IAH,"Houston, TX",TX,74,1149,,1340,,1,0,438
1/1/2022 0:00,UA,4949,XNA,"Fayetteville, AR",AR,71,DEN,"Denver, CO",CO,82,910,,1028,,1,0,616
1/1/2022 0:00,UA,5005,XNA,"Fayetteville, AR",AR,71,DEN,"Denver, CO",CO,82,1335,,1445,,1,0,616
1/2/2022 0:00,AA,3527,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,615,612,748,800,0,0,280
1/2/2022 0:00,AA,3824,XNA,"Fayetteville, AR",AR,71,DCA,"Washington, DC",VA,38,603,906,929,1259,0,0,963
1/2/2022 0:00,AA,3834,XNA,"Fayetteville, AR",AR,71,ORD,"Chicago, IL",IL,41,1022,,1215,,1,0,522
1/2/2022 0:00,AA,3847,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,816,1024,948,1200,0,0,280
1/2/2022 0:00,AA,3896,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,925,1107,1054,1245,0,0,280
