FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2963,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,808,808,906,907,0,0,160
1/1/2022 0:00,AA,2968,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1817,1813,1916,1913,0,0,160
1/1/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,730,842,1109,1203,0,0,1022
1/2/2022 0:00,AA,2963,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,635,635,730,719,0,0,160
1/2/2022 0:00,AA,2968,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1800,1754,1902,1841,0,0,160
1/2/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,730,721,1109,1049,0,0,1022
1/2/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1005,1154,1108,1244,0,0,160
1/3/2022 0:00,AA,2963,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,635,628,730,721,0,0,160
1/3/2022 0:00,AA,2968,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1800,1750,1902,1848,0,0,160
1/3/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,730,728,1109,1047,0,0,1022
1/3/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1005,1004,1108,1055,0,0,160
1/4/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,713,1104,1042,0,0,1022
1/4/2022 0:00,AA,3297,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,626,721,711,0,0,160
1/4/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1103,1201,1149,0,0,160
1/4/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1818,1851,1922,0,0,160
1/5/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,710,1104,1039,0,0,1022
1/5/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1141,1201,1228,0,0,160
1/5/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1834,1851,1930,0,0,160
1/5/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,1001,1050,1049,0,0,160
1/6/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,717,1104,1103,0,0,1022
1/6/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1747,1850,1838,0,0,160
1/6/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1106,1201,1200,0,0,160
1/6/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,726,723,819,0,0,160
1/6/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,,2032,,1,0,160
1/6/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,1014,1050,1103,0,0,160
1/7/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,718,1104,1058,0,0,1022
1/7/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1742,1850,1910,0,0,160
1/7/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1102,1201,1152,0,0,160
1/7/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,623,723,711,0,0,160
1/7/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,2253,2032,2344,0,0,160
1/7/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,943,1050,1026,0,0,160
1/8/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,745,1104,1120,0,0,1022
1/8/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1114,1201,1159,0,0,160
1/8/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,906,723,957,0,0,160
1/8/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,1149,1050,1235,0,0,160
1/9/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,719,1104,1051,0,0,1022
1/9/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1747,1850,1851,0,0,160
1/9/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1119,1201,1207,0,0,160
1/9/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,2016,2032,2103,0,0,160
1/9/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,942,1050,1054,0,0,160
1/10/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,845,1104,1429,0,1,1022
1/10/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1110,1201,1201,0,0,160
1/10/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,1138,1050,1238,0,0,160
1/11/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,1020,1104,1346,0,0,1022
1/11/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1137,1201,1227,0,0,160
1/11/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1816,1851,1905,0,0,160
1/11/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,,723,,1,0,160
1/11/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,1037,1050,1134,0,0,160
1/12/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,851,1104,1218,0,0,1022
1/12/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,,1201,,1,0,160
1/12/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1751,1851,1846,0,0,160
1/12/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,945,1050,1032,0,0,160
1/13/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,711,1104,1052,0,0,1022
1/13/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1751,1850,1850,0,0,160
1/13/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,634,723,724,0,0,160
1/13/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,1927,2032,2024,0,0,160
1/13/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,,1050,,1,0,160
1/14/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,710,1104,1105,0,0,1022
1/14/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1742,1850,1853,0,0,160
1/14/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,621,723,715,0,0,160
1/14/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,1938,2032,2051,0,0,160
1/14/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,938,1050,1024,0,0,160
1/15/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,719,1104,1057,0,0,1022
1/15/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1105,1201,1155,0,0,160
1/15/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,957,1050,1050,0,0,160
1/16/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,712,1104,1051,0,0,1022
1/16/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1854,1850,1955,0,0,160
1/16/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,627,723,719,0,0,160
1/16/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,1931,2032,2027,0,0,160
1/16/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,947,1050,1045,0,0,160
1/17/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,710,1104,1051,0,0,1022
1/17/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1740,1851,1836,0,0,160
1/17/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,622,723,710,0,0,160
1/17/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,939,1050,1040,0,0,160
1/18/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,718,1104,1057,0,0,1022
1/18/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1058,1201,1157,0,0,160
1/18/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1741,1851,1840,0,0,160
1/18/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,618,723,720,0,0,160
1/18/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,942,1050,1033,0,0,160
1/19/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,714,1104,1051,0,0,1022
1/19/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1116,1201,1205,0,0,160
1/19/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1742,1851,1841,0,0,160
1/19/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,,1050,,1,0,160
1/20/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,710,1104,1056,0,0,1022
1/20/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,2208,1850,2258,0,0,160
1/20/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,624,723,711,0,0,160
1/20/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,1939,2032,2045,0,0,160
1/20/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,,1050,,1,0,160
1/21/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,710,1104,1051,0,0,1022
1/21/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1813,1850,1915,0,0,160
1/21/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1102,1201,1149,0,0,160
1/21/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,634,723,715,0,0,160
1/21/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,940,1050,1038,0,0,160
1/22/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,718,1104,1039,0,0,1022
1/22/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1058,1201,1156,0,0,160
1/22/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,630,723,724,0,0,160
1/22/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,950,1050,1036,0,0,160
1/23/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,716,1104,1049,0,0,1022
1/23/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1749,1850,1905,0,0,160
1/23/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1125,1201,1227,0,0,160
1/23/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,1924,2032,2031,0,0,160
1/23/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,,1050,,1,0,160
1/24/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,719,1104,1057,0,0,1022
1/24/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1744,1851,1845,0,0,160
1/24/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,1042,1050,1124,0,0,160
1/25/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,715,1104,1051,0,0,1022
1/25/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1103,1201,1159,0,0,160
1/25/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1744,1851,1841,0,0,160
1/25/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,618,723,703,0,0,160
1/25/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,937,1050,1020,0,0,160
1/26/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,714,1104,1031,0,0,1022
1/26/2022 0:00,AA,5750,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1106,1105,1201,1149,0,0,160
1/26/2022 0:00,AA,5752,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1749,1851,1843,0,0,160
1/26/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,945,1050,1036,0,0,160
1/27/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,713,1104,1105,0,0,1022
1/27/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1828,1850,1926,0,0,160
1/27/2022 0:00,AA,5758,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,630,635,723,724,0,0,160
1/27/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,1928,2032,2043,0,0,160
1/27/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,947,1050,1039,0,0,160
1/28/2022 0:00,AA,3067,YUM,"Yuma, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,720,714,1104,1500,0,1,1022
1/28/2022 0:00,AA,3279,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1752,1748,1850,1834,0,0,160
1/28/2022 0:00,AA,5859,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,1936,1927,2032,2032,0,0,160
1/28/2022 0:00,AA,5873,YUM,"Yuma, AZ",AZ,81,PHX,"Phoenix, AZ",AZ,81,950,949,1050,1041,0,0,160
