FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1679,BHM,"Birmingham, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,1734,1737,1954,1944,0,0,597
1/1/2022 0:00,AA,1809,BHM,"Birmingham, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,705,700,924,852,0,0,597
1/1/2022 0:00,AA,3218,HSV,"Huntsville, AL",AL,51,ORD,"Chicago, IL",IL,41,955,945,1200,1125,0,0,510
1/1/2022 0:00,AA,3622,HSV,"Huntsville, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,1125,1121,1337,1416,0,0,603
1/1/2022 0:00,AA,3739,BHM,"Birmingham, AL",AL,51,MIA,"Miami, FL",FL,33,1807,1805,2110,2110,0,0,661
1/1/2022 0:00,AA,3808,HSV,"Huntsville, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,1919,,2136,,1,0,603
1/1/2022 0:00,AA,3859,MGM,"Montgomery, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,1520,1547,1741,1807,0,0,622
1/1/2022 0:00,AA,3863,MOB,"Mobile, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,1220,1219,1418,1405,0,0,539
1/1/2022 0:00,AA,3922,BHM,"Birmingham, AL",AL,51,ORD,"Chicago, IL",IL,41,1431,1618,1648,1826,0,0,583
1/1/2022 0:00,AA,4182,HSV,"Huntsville, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,1342,1354,1554,1617,0,0,603
1/1/2022 0:00,AA,4380,BHM,"Birmingham, AL",AL,51,MIA,"Miami, FL",FL,33,630,625,934,917,0,0,661
1/1/2022 0:00,AA,5109,HSV,"Huntsville, AL",AL,51,DCA,"Washington, DC",VA,38,631,619,919,859,0,0,613
1/1/2022 0:00,AA,5124,BHM,"Birmingham, AL",AL,51,CLT,"Charlotte, NC",NC,36,1127,1136,1355,1403,0,0,350
1/1/2022 0:00,AA,5158,BHM,"Birmingham, AL",AL,51,PHL,"Philadelphia, PA",PA,23,1550,1542,1858,2007,0,0,772
1/1/2022 0:00,AA,5253,BHM,"Birmingham, AL",AL,51,CLT,"Charlotte, NC",NC,36,754,743,1035,1024,0,0,350
1/1/2022 0:00,AA,5270,BHM,"Birmingham, AL",AL,51,CLT,"Charlotte, NC",NC,36,958,1000,1231,1229,0,0,350
1/1/2022 0:00,AA,5311,HSV,"Huntsville, AL",AL,51,DCA,"Washington, DC",VA,38,1014,1021,1258,1256,0,0,613
1/1/2022 0:00,AA,5332,BHM,"Birmingham, AL",AL,51,DCA,"Washington, DC",VA,38,1028,1200,1320,1452,0,0,653
1/1/2022 0:00,AA,5436,BHM,"Birmingham, AL",AL,51,CLT,"Charlotte, NC",NC,36,1627,1704,1900,1940,0,0,350
1/1/2022 0:00,AA,5562,BHM,"Birmingham, AL",AL,51,DCA,"Washington, DC",VA,38,613,605,910,900,0,0,653
1/1/2022 0:00,AA,5581,HSV,"Huntsville, AL",AL,51,CLT,"Charlotte, NC",NC,36,948,944,1220,1156,0,0,333
1/1/2022 0:00,AA,5591,BHM,"Birmingham, AL",AL,51,CLT,"Charlotte, NC",NC,36,631,624,910,904,0,0,350
1/1/2022 0:00,AA,5653,MGM,"Montgomery, AL",AL,51,DCA,"Washington, DC",VA,38,1555,1901,1851,2145,0,0,693
1/1/2022 0:00,AA,5699,HSV,"Huntsville, AL",AL,51,CLT,"Charlotte, NC",NC,36,1242,1234,1511,1444,0,0,333
1/1/2022 0:00,AA,5720,BHM,"Birmingham, AL",AL,51,CLT,"Charlotte, NC",NC,36,1244,1242,1517,1505,0,0,350
1/1/2022 0:00,AA,5723,HSV,"Huntsville, AL",AL,51,CLT,"Charlotte, NC",NC,36,542,532,825,757,0,0,333
1/1/2022 0:00,AA,5909,MOB,"Mobile, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,700,,902,,1,0,539
1/1/2022 0:00,AA,5998,MOB,"Mobile, AL",AL,51,DFW,"Dallas/Fort Worth, TX",TX,74,1945,1949,2144,2156,0,0,539
1/1/2022 0:00,AA,6002,MGM,"Montgomery, AL",AL,51,CLT,"Charlotte, NC",NC,36,544,536,818,802,0,0,372
1/1/2022 0:00,AA,6053,MOB,"Mobile, AL",AL,51,CLT,"Charlotte, NC",NC,36,704,700,955,949,0,0,526
1/1/2022 0:00,AA,6079,MGM,"Montgomery, AL",AL,51,CLT,"Charlotte, NC",NC,36,1218,1224,1450,1436,0,0,372
1/1/2022 0:00,AA,6165,MOB,"Mobile, AL",AL,51,CLT,"Charlotte, NC",NC,36,1442,1530,1725,1808,0,0,526
1/1/2022 0:00,AA,6187,MOB,"Mobile, AL",AL,51,CLT,"Charlotte, NC",NC,36,1127,1124,1405,1403,0,0,526
1/1/2022 0:00,DL,1318,BHM,"Birmingham, AL",AL,51,ATL,"Atlanta, GA",GA,34,900,858,1104,1045,0,0,134
1/1/2022 0:00,DL,1356,BHM,"Birmingham, AL",AL,51,ATL,"Atlanta, GA",GA,34,1600,1621,1807,1812,0,0,134
1/1/2022 0:00,DL,2326,HSV,"Huntsville, AL",AL,51,ATL,"Atlanta, GA",GA,34,950,946,1144,1136,0,0,151
1/1/2022 0:00,DL,2616,BHM,"Birmingham, AL",AL,51,ATL,"Atlanta, GA",GA,34,600,557,810,748,0,0,134
1/1/2022 0:00,DL,2745,HSV,"Huntsville, AL",AL,51,ATL,"Atlanta, GA",GA,34,534,535,734,724,0,0,151
1/1/2022 0:00,DL,2791,BHM,"Birmingham, AL",AL,51,ATL,"Atlanta, GA",GA,34,1200,1157,1404,1349,0,0,134
1/1/2022 0:00,DL,2922,HSV,"Huntsville, AL",AL,51,ATL,"Atlanta, GA",GA,34,1339,,1539,,1,0,151
1/1/2022 0:00,DL,2967,HSV,"Huntsville, AL",AL,51,ATL,"Atlanta, GA",GA,34,1710,1706,1915,1852,0,0,151
1/1/2022 0:00,DL,4710,MOB,"Mobile, AL",AL,51,ATL,"Atlanta, GA",GA,34,800,805,1020,1016,0,0,302
