FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3085,FSM,"Fort Smith, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,2016,2157,2135,2323,0,0,227
1/1/2022 0:00,AA,3238,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1424,1425,1553,1611,0,0,304
1/1/2022 0:00,AA,3527,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,715,722,850,838,0,0,280
1/1/2022 0:00,AA,3589,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,800,759,932,933,0,0,304
1/1/2022 0:00,AA,3600,XNA,"Fayetteville, AR",AR,71,MIA,"Miami, FL",FL,33,615,613,1008,1004,0,0,1099
1/1/2022 0:00,AA,3642,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1219,1213,1344,1357,0,0,304
1/1/2022 0:00,AA,3759,TXK,"Texarkana, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,2009,2147,2128,2257,0,0,181
1/1/2022 0:00,AA,3817,LIT,"Little Rock, AR",AR,71,ORD,"Chicago, IL",IL,41,1234,1238,1430,1421,0,0,552
1/1/2022 0:00,AA,3834,XNA,"Fayetteville, AR",AR,71,ORD,"Chicago, IL",IL,41,1022,,1214,,1,0,522
1/1/2022 0:00,AA,3847,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,816,824,948,946,0,0,280
1/1/2022 0:00,AA,3850,LIT,"Little Rock, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1017,1015,1144,1157,0,0,304
1/1/2022 0:00,AA,3875,TXK,"Texarkana, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1030,1025,1143,1130,0,0,181
1/1/2022 0:00,AA,3896,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,925,931,1054,1058,0,0,280
1/1/2022 0:00,AA,4008,TXK,"Texarkana, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1821,1816,1939,2031,0,0,181
1/1/2022 0:00,AA,4030,XNA,"Fayetteville, AR",AR,71,CLT,"Charlotte, NC",NC,36,714,727,1030,1027,0,0,754
1/1/2022 0:00,AA,4148,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1833,2145,2000,2320,0,0,280
1/1/2022 0:00,AA,4202,XNA,"Fayetteville, AR",AR,71,DFW,"Dallas/Fort Worth, TX",TX,74,1944,1949,2113,2145,0,0,280
