FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1427,BDL,"Hartford, CT",CT,11,CLT,"Charlotte, NC",NC,36,1910,2034,2121,2252,0,0,644
1/1/2022 0:00,AA,1690,BDL,"Hartford, CT",CT,11,CLT,"Charlotte, NC",NC,36,600,559,818,804,0,0,644
1/1/2022 0:00,AA,1736,BDL,"Hartford, CT",CT,11,CLT,"Charlotte, NC",NC,36,1147,1155,1400,1405,0,0,644
1/1/2022 0:00,AA,2187,BDL,"Hartford, CT",CT,11,MIA,"Miami, FL",FL,33,707,659,1042,1048,0,0,1194
1/1/2022 0:00,AA,2225,BDL,"Hartford, CT",CT,11,ORD,"Chicago, IL",IL,41,1245,,1430,,1,0,783
1/1/2022 0:00,AA,2672,BDL,"Hartford, CT",CT,11,MIA,"Miami, FL",FL,33,1730,1726,2055,2028,0,0,1194
1/1/2022 0:00,AA,338,BDL,"Hartford, CT",CT,11,MIA,"Miami, FL",FL,33,610,600,940,914,0,0,1194
1/1/2022 0:00,AA,4816,BDL,"Hartford, CT",CT,11,PHL,"Philadelphia, PA",PA,23,600,555,719,718,0,0,196
1/1/2022 0:00,AA,5096,BDL,"Hartford, CT",CT,11,DCA,"Washington, DC",VA,38,1852,,2018,,1,0,313
1/1/2022 0:00,AA,5101,BDL,"Hartford, CT",CT,11,DCA,"Washington, DC",VA,38,1326,1358,1459,1540,0,0,313
1/1/2022 0:00,AA,5380,BDL,"Hartford, CT",CT,11,DCA,"Washington, DC",VA,38,627,620,759,808,0,0,313
1/1/2022 0:00,AA,6107,BDL,"Hartford, CT",CT,11,PHL,"Philadelphia, PA",PA,23,1715,1844,1835,2015,0,0,196
1/1/2022 0:00,B6,1103,BDL,"Hartford, CT",CT,11,RSW,"Fort Myers, FL",FL,33,1654,1700,2019,2001,0,0,1180
