FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1796,MSO,"Missoula, MT",MT,84,DFW,"Dallas/Fort Worth, TX",TX,74,713,712,1147,1145,0,0,1320
1/1/2022 0:00,AA,2167,BZN,"Bozeman, MT",MT,84,ORD,"Chicago, IL",IL,41,1216,1236,1618,1637,0,0,1186
1/1/2022 0:00,AA,2523,BZN,"Bozeman, MT",MT,84,DFW,"Dallas/Fort Worth, TX",TX,74,700,655,1108,1112,0,0,1163
1/1/2022 0:00,AA,3113,BIL,"Billings, MT",MT,84,PHX,"Phoenix, AZ",AZ,81,1722,,1956,,1,0,873
1/1/2022 0:00,AA,4095,BIL,"Billings, MT",MT,84,DFW,"Dallas/Fort Worth, TX",TX,74,1346,1338,1737,1734,0,0,1081
1/1/2022 0:00,AA,4274,MSO,"Missoula, MT",MT,84,DFW,"Dallas/Fort Worth, TX",TX,74,1457,1458,1934,2001,0,0,1320
1/1/2022 0:00,AA,6253,BZN,"Bozeman, MT",MT,84,LAX,"Los Angeles, CA",CA,91,1437,,1611,,1,0,902
1/1/2022 0:00,AA,815,BZN,"Bozeman, MT",MT,84,CLT,"Charlotte, NC",NC,36,1256,1342,1846,1934,0,0,1736
1/1/2022 0:00,AA,817,BZN,"Bozeman, MT",MT,84,DFW,"Dallas/Fort Worth, TX",TX,74,1357,1551,1757,1957,0,0,1163
1/1/2022 0:00,AS,2030,GTF,"Great Falls, MT",MT,84,SEA,"Seattle, WA",WA,93,1725,1723,1823,1837,0,0,512
1/1/2022 0:00,AS,2046,BIL,"Billings, MT",MT,84,SEA,"Seattle, WA",WA,93,1340,1352,1516,1521,0,0,664
1/1/2022 0:00,AS,2176,MSO,"Missoula, MT",MT,84,SEA,"Seattle, WA",WA,93,1725,1755,1817,1901,0,0,389
1/1/2022 0:00,AS,2289,FCA,"Kalispell, MT",MT,84,SEA,"Seattle, WA",WA,93,1330,1330,1424,1428,0,0,379
1/1/2022 0:00,AS,2331,FCA,"Kalispell, MT",MT,84,SEA,"Seattle, WA",WA,93,810,817,904,902,0,0,379
1/1/2022 0:00,AS,2341,MSO,"Missoula, MT",MT,84,SEA,"Seattle, WA",WA,93,805,801,901,853,0,0,389
1/1/2022 0:00,AS,2359,BZN,"Bozeman, MT",MT,84,SEA,"Seattle, WA",WA,93,700,938,815,1104,0,0,543
1/1/2022 0:00,AS,2422,HLN,"Helena, MT",MT,84,SEA,"Seattle, WA",WA,93,1545,1538,1645,1643,0,0,491
1/1/2022 0:00,AS,2423,MSO,"Missoula, MT",MT,84,SEA,"Seattle, WA",WA,93,1025,1028,1121,1117,0,0,389
1/1/2022 0:00,AS,2448,BZN,"Bozeman, MT",MT,84,SEA,"Seattle, WA",WA,93,1908,1942,2031,2109,0,0,543
1/1/2022 0:00,AS,2511,BZN,"Bozeman, MT",MT,84,SEA,"Seattle, WA",WA,93,1208,1206,1320,1319,0,0,543
1/1/2022 0:00,AS,2515,BIL,"Billings, MT",MT,84,SEA,"Seattle, WA",WA,93,1935,1949,2121,2117,0,0,664
1/1/2022 0:00,AS,3363,BZN,"Bozeman, MT",MT,84,LAX,"Los Angeles, CA",CA,91,1705,1813,1842,1935,0,0,902
1/1/2022 0:00,AS,3366,BZN,"Bozeman, MT",MT,84,SAN,"San Diego, CA",CA,91,1455,1717,1633,1838,0,0,956
1/1/2022 0:00,B6,1462,BZN,"Bozeman, MT",MT,84,FLL,"Fort Lauderdale, FL",FL,33,1158,1150,1833,1830,0,0,2183
1/1/2022 0:00,B6,256,BZN,"Bozeman, MT",MT,84,BOS,"Boston, MA",MA,13,1559,1753,2208,2,0,0,1991
1/1/2022 0:00,B6,944,BZN,"Bozeman, MT",MT,84,JFK,"New York, NY",NY,22,1445,1703,2100,2317,0,0,1902
1/1/2022 0:00,DL,1253,BZN,"Bozeman, MT",MT,84,MSP,"Minneapolis, MN",MN,63,829,824,1150,1148,0,0,874
1/1/2022 0:00,DL,1320,FCA,"Kalispell, MT",MT,84,MSP,"Minneapolis, MN",MN,63,805,807,1148,1150,0,0,1026
1/1/2022 0:00,DL,2240,BZN,"Bozeman, MT",MT,84,MSP,"Minneapolis, MN",MN,63,1410,1407,1723,1714,0,0,874
1/1/2022 0:00,DL,2392,BIL,"Billings, MT",MT,84,MSP,"Minneapolis, MN",MN,63,1110,1111,1415,1421,0,0,748
1/1/2022 0:00,DL,2686,BZN,"Bozeman, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,700,658,829,816,0,0,347
1/1/2022 0:00,DL,2943,MSO,"Missoula, MT",MT,84,MSP,"Minneapolis, MN",MN,63,1505,1535,1834,1937,0,0,1013
1/1/2022 0:00,DL,2984,BIL,"Billings, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,650,646,820,834,0,0,387
1/1/2022 0:00,DL,3523,FCA,"Kalispell, MT",MT,84,MSP,"Minneapolis, MN",MN,63,1455,1444,1838,1851,0,0,1026
1/1/2022 0:00,DL,3549,BZN,"Bozeman, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1314,1312,1439,1421,0,0,347
1/1/2022 0:00,DL,3578,FCA,"Kalispell, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1233,1227,1433,1357,0,0,531
1/1/2022 0:00,DL,3606,BZN,"Bozeman, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1759,1754,1938,1905,0,0,347
1/1/2022 0:00,DL,3810,HLN,"Helena, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,710,704,846,843,0,0,402
1/1/2022 0:00,DL,3817,BIL,"Billings, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1250,1246,1423,1402,0,0,387
1/1/2022 0:00,DL,4093,FCA,"Kalispell, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,635,631,840,827,0,0,531
1/1/2022 0:00,DL,4110,BZN,"Bozeman, MT",MT,84,LAX,"Los Angeles, CA",CA,91,1224,1221,1418,1340,0,0,902
1/1/2022 0:00,DL,4141,MSO,"Missoula, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1231,1229,1409,1351,0,0,436
1/1/2022 0:00,DL,4248,GTF,"Great Falls, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1233,1253,1407,1411,0,0,463
1/1/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,715,710,842,846,0,0,358
1/1/2022 0:00,DL,4292,GTF,"Great Falls, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,805,756,945,926,0,0,463
1/1/2022 0:00,DL,4529,MSO,"Missoula, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,655,654,836,835,0,0,436
1/1/2022 0:00,DL,651,BZN,"Bozeman, MT",MT,84,ATL,"Atlanta, GA",GA,34,1453,1818,2044,2356,0,0,1640
1/1/2022 0:00,UA,1084,FCA,"Kalispell, MT",MT,84,DEN,"Denver, CO",CO,82,1425,1528,1640,1847,0,0,752
1/1/2022 0:00,UA,1505,BZN,"Bozeman, MT",MT,84,DEN,"Denver, CO",CO,82,1430,1758,1617,2002,0,0,524
1/1/2022 0:00,UA,2255,MSO,"Missoula, MT",MT,84,DEN,"Denver, CO",CO,82,600,607,802,824,0,0,679
1/1/2022 0:00,UA,2381,FCA,"Kalispell, MT",MT,84,DEN,"Denver, CO",CO,82,635,646,848,928,0,0,752
1/1/2022 0:00,UA,257,BIL,"Billings, MT",MT,84,DEN,"Denver, CO",CO,82,1415,1549,1547,1713,0,0,455
1/1/2022 0:00,UA,2620,MSO,"Missoula, MT",MT,84,DEN,"Denver, CO",CO,82,1425,1623,1627,1832,0,0,679
1/1/2022 0:00,UA,308,BZN,"Bozeman, MT",MT,84,EWR,"Newark, NJ",NJ,21,1136,,1759,,1,0,1882
1/1/2022 0:00,UA,314,BZN,"Bozeman, MT",MT,84,ORD,"Chicago, IL",IL,41,1225,1223,1629,1619,0,0,1186
1/1/2022 0:00,UA,4661,BZN,"Bozeman, MT",MT,84,DEN,"Denver, CO",CO,82,1615,1835,1803,2112,0,0,524
1/1/2022 0:00,UA,4710,BZN,"Bozeman, MT",MT,84,SFO,"San Francisco, CA",CA,91,737,812,915,936,0,0,807
1/1/2022 0:00,UA,4740,GTF,"Great Falls, MT",MT,84,DEN,"Denver, CO",CO,82,1400,1546,1600,1746,0,0,623
1/1/2022 0:00,UA,4750,GTF,"Great Falls, MT",MT,84,DEN,"Denver, CO",CO,82,655,,903,,1,0,623
1/1/2022 0:00,UA,491,BZN,"Bozeman, MT",MT,84,DEN,"Denver, CO",CO,82,700,748,846,1001,0,0,524
1/1/2022 0:00,UA,4941,HLN,"Helena, MT",MT,84,DEN,"Denver, CO",CO,82,1405,,1605,,1,0,594
1/1/2022 0:00,UA,4993,HLN,"Helena, MT",MT,84,DEN,"Denver, CO",CO,82,645,,858,,1,0,594
1/1/2022 0:00,UA,5493,BZN,"Bozeman, MT",MT,84,DEN,"Denver, CO",CO,82,1253,1305,1440,1515,0,0,524
1/1/2022 0:00,UA,5767,FCA,"Kalispell, MT",MT,84,ORD,"Chicago, IL",IL,41,1240,,1710,,1,0,1352
