FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1421,ABQ,"Albuquerque, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,800,753,1051,1032,0,0,569
1/1/2022 0:00,AA,1670,ABQ,"Albuquerque, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1300,1301,1549,1632,0,0,569
1/1/2022 0:00,AA,1689,ABQ,"Albuquerque, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1045,1041,1334,1322,0,0,569
1/1/2022 0:00,AA,2335,ABQ,"Albuquerque, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,620,614,913,847,0,0,569
1/1/2022 0:00,AA,2986,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,625,650,924,1123,0,0,551
1/1/2022 0:00,AA,2995,SAF,"Santa Fe, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1855,1900,2040,2028,0,0,370
1/1/2022 0:00,AA,3033,ABQ,"Albuquerque, NM",NM,86,LAX,"Los Angeles, CA",CA,91,1244,1243,1355,1405,0,0,677
1/1/2022 0:00,AA,3055,ABQ,"Albuquerque, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1545,1539,1714,1654,0,0,328
1/1/2022 0:00,AA,3100,ROW,"Roswell, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1128,1314,1405,1559,0,0,435
1/1/2022 0:00,AA,3133,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1449,1449,1740,1756,0,0,551
1/1/2022 0:00,AA,3187,SAF,"Santa Fe, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1635,,1921,,1,0,551
1/1/2022 0:00,AA,3225,ROW,"Roswell, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,651,648,845,826,0,0,433
1/1/2022 0:00,AA,3271,ROW,"Roswell, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,629,629,909,852,0,0,435
1/1/2022 0:00,AA,380,ABQ,"Albuquerque, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1835,1829,2124,2122,0,0,569
1/1/2022 0:00,AA,6252,ABQ,"Albuquerque, NM",NM,86,LAX,"Los Angeles, CA",CA,91,2021,,2135,,1,0,677
1/1/2022 0:00,AA,6256,ABQ,"Albuquerque, NM",NM,86,LAX,"Los Angeles, CA",CA,91,724,,845,,1,0,677
1/1/2022 0:00,AA,938,ABQ,"Albuquerque, NM",NM,86,PHX,"Phoenix, AZ",AZ,81,1133,1125,1257,1240,0,0,328
1/1/2022 0:00,AA,941,ABQ,"Albuquerque, NM",NM,86,DFW,"Dallas/Fort Worth, TX",TX,74,1649,2011,1939,2255,0,0,569
