FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1092,TUL,"Tulsa, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1424,1421,1551,1611,0,0,237
1/1/2022 0:00,AA,1433,TUL,"Tulsa, OK",OK,73,CLT,"Charlotte, NC",NC,36,646,644,1010,1007,0,0,842
1/1/2022 0:00,AA,1805,OKC,"Oklahoma City, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1020,1016,1138,1200,0,0,175
1/1/2022 0:00,AA,2273,OKC,"Oklahoma City, OK",OK,73,CLT,"Charlotte, NC",NC,36,635,629,1017,957,0,0,940
1/1/2022 0:00,AA,2434,OKC,"Oklahoma City, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1435,1428,1549,1634,0,0,175
1/1/2022 0:00,AA,2439,OKC,"Oklahoma City, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1230,1225,1345,1401,0,0,175
1/1/2022 0:00,AA,2623,TUL,"Tulsa, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,800,757,925,922,0,0,237
1/1/2022 0:00,AA,3054,OKC,"Oklahoma City, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1616,1612,1729,1805,0,0,175
1/1/2022 0:00,AA,3098,OKC,"Oklahoma City, OK",OK,73,ORD,"Chicago, IL",IL,41,1321,1316,1529,1700,0,0,693
1/1/2022 0:00,AA,3119,TUL,"Tulsa, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1958,,2120,,1,0,237
1/1/2022 0:00,AA,3160,OKC,"Oklahoma City, OK",OK,73,AUS,"Austin, TX",TX,74,1830,1916,1957,2107,0,0,358
1/1/2022 0:00,AA,3250,OKC,"Oklahoma City, OK",OK,73,PHX,"Phoenix, AZ",AZ,81,1403,1503,1549,1714,0,0,833
1/1/2022 0:00,AA,3252,OKC,"Oklahoma City, OK",OK,73,LAX,"Los Angeles, CA",CA,91,1230,1552,1355,1732,0,0,1187
1/1/2022 0:00,AA,3597,OKC,"Oklahoma City, OK",OK,73,MIA,"Miami, FL",FL,33,600,552,1004,942,0,0,1222
1/1/2022 0:00,AA,3628,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1654,1712,1755,1836,0,0,140
1/1/2022 0:00,AA,3777,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1025,1021,1130,1128,0,0,140
1/1/2022 0:00,AA,3867,TUL,"Tulsa, OK",OK,73,ORD,"Chicago, IL",IL,41,940,936,1137,1103,0,0,585
1/1/2022 0:00,AA,3881,SWO,"Stillwater, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1425,1421,1545,1540,0,0,225
1/1/2022 0:00,AA,3984,LAW,"Lawton/Fort Sill, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,2020,,2124,,1,0,140
1/1/2022 0:00,AA,4535,OKC,"Oklahoma City, OK",OK,73,LGA,"New York, NY",NY,22,700,648,1118,1110,0,0,1341
1/1/2022 0:00,AA,4731,TUL,"Tulsa, OK",OK,73,MIA,"Miami, FL",FL,33,710,707,1104,1114,0,0,1168
1/1/2022 0:00,AA,5443,OKC,"Oklahoma City, OK",OK,73,DCA,"Washington, DC",VA,38,616,609,1005,956,0,0,1158
1/1/2022 0:00,AA,5519,TUL,"Tulsa, OK",OK,73,CLT,"Charlotte, NC",NC,36,1625,1626,1940,2006,0,0,842
1/1/2022 0:00,AA,5697,OKC,"Oklahoma City, OK",OK,73,CLT,"Charlotte, NC",NC,36,1346,1420,1713,1847,0,0,940
1/1/2022 0:00,AA,5965,TUL,"Tulsa, OK",OK,73,PHX,"Phoenix, AZ",AZ,81,1751,1756,1955,1931,0,0,935
1/1/2022 0:00,AA,6274,OKC,"Oklahoma City, OK",OK,73,LAX,"Los Angeles, CA",CA,91,731,721,909,939,0,0,1187
1/1/2022 0:00,AA,6316,TUL,"Tulsa, OK",OK,73,LAX,"Los Angeles, CA",CA,91,2018,2009,2200,2154,0,0,1283
1/1/2022 0:00,AA,819,OKC,"Oklahoma City, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,2028,2330,2143,100,0,0,175
1/1/2022 0:00,AA,849,OKC,"Oklahoma City, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,814,809,935,951,0,0,175
1/1/2022 0:00,AS,1405,OKC,"Oklahoma City, OK",OK,73,SEA,"Seattle, WA",WA,93,1425,1429,1635,1639,0,0,1519
1/1/2022 0:00,DL,2068,OKC,"Oklahoma City, OK",OK,73,ATL,"Atlanta, GA",GA,34,600,609,903,902,0,0,761
1/1/2022 0:00,DL,2080,OKC,"Oklahoma City, OK",OK,73,ATL,"Atlanta, GA",GA,34,1500,1459,1803,1823,0,0,761
1/1/2022 0:00,DL,2405,OKC,"Oklahoma City, OK",OK,73,ATL,"Atlanta, GA",GA,34,1000,958,1252,1317,0,0,761
1/1/2022 0:00,DL,2836,TUL,"Tulsa, OK",OK,73,ATL,"Atlanta, GA",GA,34,1109,1107,1357,1346,0,0,674
1/1/2022 0:00,DL,2855,TUL,"Tulsa, OK",OK,73,ATL,"Atlanta, GA",GA,34,600,556,856,843,0,0,674
1/1/2022 0:00,DL,3679,OKC,"Oklahoma City, OK",OK,73,MSP,"Minneapolis, MN",MN,63,705,656,921,901,0,0,694
1/1/2022 0:00,DL,3753,OKC,"Oklahoma City, OK",OK,73,SLC,"Salt Lake City, UT",UT,87,843,838,1030,1035,0,0,866
1/1/2022 0:00,DL,3979,TUL,"Tulsa, OK",OK,73,SLC,"Salt Lake City, UT",UT,87,830,823,1025,1012,0,0,926
1/1/2022 0:00,DL,5367,TUL,"Tulsa, OK",OK,73,ATL,"Atlanta, GA",GA,34,1550,1547,1841,1900,0,0,674
1/1/2022 0:00,G4,2013,TUL,"Tulsa, OK",OK,73,PIE,"St. Petersburg, FL",FL,33,1327,,1641,,1,0,961
1/1/2022 0:00,G4,2356,OKC,"Oklahoma City, OK",OK,73,SFB,"Sanford, FL",FL,33,1526,1530,1846,1905,0,0,1061
1/1/2022 0:00,G4,2547,TUL,"Tulsa, OK",OK,73,SRQ,"Sarasota/Bradenton, FL",FL,33,1935,,2259,,1,0,990
1/1/2022 0:00,UA,4305,OKC,"Oklahoma City, OK",OK,73,IAH,"Houston, TX",TX,74,1155,1152,1335,1321,0,0,395
1/1/2022 0:00,UA,4361,TUL,"Tulsa, OK",OK,73,IAH,"Houston, TX",TX,74,1630,,1819,,1,0,429
1/1/2022 0:00,UA,4709,OKC,"Oklahoma City, OK",OK,73,DEN,"Denver, CO",CO,82,1155,1343,1245,1526,0,0,495
1/1/2022 0:00,UA,4871,TUL,"Tulsa, OK",OK,73,IAH,"Houston, TX",TX,74,1155,1146,1340,1335,0,0,429
1/1/2022 0:00,UA,4908,TUL,"Tulsa, OK",OK,73,DEN,"Denver, CO",CO,82,925,935,1032,1045,0,0,541
1/1/2022 0:00,UA,5335,TUL,"Tulsa, OK",OK,73,ORD,"Chicago, IL",IL,41,600,555,807,733,0,0,585
1/1/2022 0:00,UA,5361,TUL,"Tulsa, OK",OK,73,DEN,"Denver, CO",CO,82,545,547,651,636,0,0,541
1/1/2022 0:00,UA,5425,OKC,"Oklahoma City, OK",OK,73,ORD,"Chicago, IL",IL,41,948,937,1159,1155,0,0,693
1/1/2022 0:00,UA,5495,OKC,"Oklahoma City, OK",OK,73,IAH,"Houston, TX",TX,74,1403,1528,1539,1724,0,0,395
1/1/2022 0:00,UA,5497,OKC,"Oklahoma City, OK",OK,73,DEN,"Denver, CO",CO,82,930,926,1022,1045,0,0,495
1/1/2022 0:00,UA,5554,TUL,"Tulsa, OK",OK,73,IAH,"Houston, TX",TX,74,1540,1716,1725,1911,0,0,429
1/1/2022 0:00,UA,5602,OKC,"Oklahoma City, OK",OK,73,ORD,"Chicago, IL",IL,41,749,,1000,,1,0,693
1/1/2022 0:00,UA,5627,TUL,"Tulsa, OK",OK,73,DEN,"Denver, CO",CO,82,1345,,1447,,1,0,541
1/1/2022 0:00,UA,5629,TUL,"Tulsa, OK",OK,73,ORD,"Chicago, IL",IL,41,1430,,1633,,1,0,585
1/1/2022 0:00,UA,5684,OKC,"Oklahoma City, OK",OK,73,DEN,"Denver, CO",CO,82,610,,704,,1,0,495
1/1/2022 0:00,UA,5954,OKC,"Oklahoma City, OK",OK,73,DEN,"Denver, CO",CO,82,1655,1806,1752,2103,0,0,495
1/1/2022 0:00,UA,6050,OKC,"Oklahoma City, OK",OK,73,IAH,"Houston, TX",TX,74,700,730,837,918,0,0,395
1/1/2022 0:00,UA,6077,OKC,"Oklahoma City, OK",OK,73,IAH,"Houston, TX",TX,74,934,,1111,,1,0,395
1/1/2022 0:00,UA,6112,OKC,"Oklahoma City, OK",OK,73,ORD,"Chicago, IL",IL,41,1430,,1642,,1,0,693
1/1/2022 0:00,UA,6127,OKC,"Oklahoma City, OK",OK,73,IAH,"Houston, TX",TX,74,1551,1554,1725,1740,0,0,395
1/1/2022 0:00,UA,6378,TUL,"Tulsa, OK",OK,73,IAH,"Houston, TX",TX,74,700,656,849,839,0,0,429
1/1/2022 0:00,WN,1257,TUL,"Tulsa, OK",OK,73,PHX,"Phoenix, AZ",AZ,81,1755,1749,1945,1932,0,0,935
1/1/2022 0:00,WN,1639,OKC,"Oklahoma City, OK",OK,73,LAS,"Las Vegas, NV",NV,85,710,718,800,824,0,0,986
1/1/2022 0:00,WN,1751,TUL,"Tulsa, OK",OK,73,HOU,"Houston, TX",TX,74,600,602,740,737,0,0,453
1/1/2022 0:00,WN,2146,OKC,"Oklahoma City, OK",OK,73,MDW,"Chicago, IL",IL,41,1310,,1505,,1,0,691
1/1/2022 0:00,WN,2295,OKC,"Oklahoma City, OK",OK,73,HOU,"Houston, TX",TX,74,1655,1734,1820,1923,0,0,419
1/1/2022 0:00,WN,2325,OKC,"Oklahoma City, OK",OK,73,MCO,"Orlando, FL",FL,33,1320,1328,1655,1729,0,0,1069
