FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1703,PVD,"Providence, RI",RI,15,CLT,"Charlotte, NC",NC,36,533,536,803,751,0,0,683
1/1/2022 0:00,AA,4541,PVD,"Providence, RI",RI,15,DCA,"Washington, DC",VA,38,1723,1717,1900,1850,0,0,356
1/1/2022 0:00,AA,4829,PVD,"Providence, RI",RI,15,ORD,"Chicago, IL",IL,41,734,,940,,1,0,849
1/1/2022 0:00,AA,5144,PVD,"Providence, RI",RI,15,CLT,"Charlotte, NC",NC,36,1517,1508,1745,1727,0,0,683
1/1/2022 0:00,AA,5202,PVD,"Providence, RI",RI,15,DCA,"Washington, DC",VA,38,604,557,742,757,0,0,356
1/1/2022 0:00,AA,5280,PVD,"Providence, RI",RI,15,PHL,"Philadelphia, PA",PA,23,1617,1615,1738,1731,0,0,237
1/1/2022 0:00,AA,5313,PVD,"Providence, RI",RI,15,CLT,"Charlotte, NC",NC,36,1129,1135,1357,1351,0,0,683
1/1/2022 0:00,AA,5363,PVD,"Providence, RI",RI,15,DCA,"Washington, DC",VA,38,1155,1220,1328,1418,0,0,356
1/1/2022 0:00,AA,5716,PVD,"Providence, RI",RI,15,PHL,"Philadelphia, PA",PA,23,711,703,839,825,0,0,237
1/1/2022 0:00,B6,1075,PVD,"Providence, RI",RI,15,MCO,"Orlando, FL",FL,33,2050,2323,2356,221,0,0,1072
1/1/2022 0:00,B6,1197,PVD,"Providence, RI",RI,15,FLL,"Fort Lauderdale, FL",FL,33,2203,2219,125,136,0,0,1188
1/1/2022 0:00,B6,1275,PVD,"Providence, RI",RI,15,MCO,"Orlando, FL",FL,33,926,,1233,,1,0,1072
1/1/2022 0:00,B6,1287,PVD,"Providence, RI",RI,15,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1256,1526,1608,1846,0,0,1148
1/1/2022 0:00,B6,1491,PVD,"Providence, RI",RI,15,RSW,"Fort Myers, FL",FL,33,1404,1422,1737,1721,0,0,1200
1/1/2022 0:00,B6,304,PVD,"Providence, RI",RI,15,TPA,"Tampa, FL",FL,33,729,724,1055,1026,0,0,1136
1/1/2022 0:00,DL,1531,PVD,"Providence, RI",RI,15,ATL,"Atlanta, GA",GA,34,600,645,848,921,0,0,903
1/1/2022 0:00,DL,1608,PVD,"Providence, RI",RI,15,ATL,"Atlanta, GA",GA,34,1735,1843,2029,2116,0,0,903
1/1/2022 0:00,DL,3517,PVD,"Providence, RI",RI,15,DTW,"Detroit, MI",MI,43,530,529,752,755,0,0,615
1/1/2022 0:00,DL,3724,PVD,"Providence, RI",RI,15,DTW,"Detroit, MI",MI,43,1300,1258,1512,1515,0,0,615
1/1/2022 0:00,F9,1185,PVD,"Providence, RI",RI,15,MCO,"Orlando, FL",FL,33,1219,1259,1536,1546,0,0,1072
1/1/2022 0:00,UA,3529,PVD,"Providence, RI",RI,15,EWR,"Newark, NJ",NJ,21,1340,1340,1509,1453,0,0,160
1/1/2022 0:00,UA,3552,PVD,"Providence, RI",RI,15,EWR,"Newark, NJ",NJ,21,1745,,1917,,1,0,160
1/1/2022 0:00,UA,3676,PVD,"Providence, RI",RI,15,ORD,"Chicago, IL",IL,41,915,912,1122,,1,0,849
1/1/2022 0:00,UA,4485,PVD,"Providence, RI",RI,15,EWR,"Newark, NJ",NJ,21,1605,1622,1730,1750,0,0,160
1/1/2022 0:00,UA,4592,PVD,"Providence, RI",RI,15,EWR,"Newark, NJ",NJ,21,1000,1001,1120,1150,0,0,160
1/1/2022 0:00,UA,4815,PVD,"Providence, RI",RI,15,IAD,"Washington, DC",VA,38,730,1113,922,1327,0,0,371
1/1/2022 0:00,UA,4816,PVD,"Providence, RI",RI,15,IAD,"Washington, DC",VA,38,1415,1413,1603,1556,0,0,371
1/1/2022 0:00,WN,1737,PVD,"Providence, RI",RI,15,FLL,"Fort Lauderdale, FL",FL,33,1735,1735,2050,2045,0,0,1188
1/1/2022 0:00,WN,2584,PVD,"Providence, RI",RI,15,RSW,"Fort Myers, FL",FL,33,1255,1258,1625,1616,0,0,1200
1/1/2022 0:00,WN,2606,PVD,"Providence, RI",RI,15,MDW,"Chicago, IL",IL,41,1350,,1525,,1,0,842
1/1/2022 0:00,WN,2771,PVD,"Providence, RI",RI,15,BWI,"Baltimore, MD",MD,35,520,557,645,720,0,0,327
1/1/2022 0:00,WN,3118,PVD,"Providence, RI",RI,15,TPA,"Tampa, FL",FL,33,1755,1805,2110,2104,0,0,1136
1/1/2022 0:00,WN,3372,PVD,"Providence, RI",RI,15,BWI,"Baltimore, MD",MD,35,1110,1108,1235,1223,0,0,327
1/1/2022 0:00,WN,3409,PVD,"Providence, RI",RI,15,MCO,"Orlando, FL",FL,33,1530,1738,1835,2041,0,0,1072
1/1/2022 0:00,WN,3665,PVD,"Providence, RI",RI,15,MCO,"Orlando, FL",FL,33,500,459,805,753,0,0,1072
1/1/2022 0:00,WN,3670,PVD,"Providence, RI",RI,15,MCO,"Orlando, FL",FL,33,725,724,1030,1012,0,0,1072
1/1/2022 0:00,WN,3672,PVD,"Providence, RI",RI,15,TPA,"Tampa, FL",FL,33,550,546,905,850,0,0,1136
1/1/2022 0:00,WN,3816,PVD,"Providence, RI",RI,15,MCO,"Orlando, FL",FL,33,1835,,2140,,1,0,1072
1/1/2022 0:00,WN,3819,PVD,"Providence, RI",RI,15,DCA,"Washington, DC",VA,38,1020,1031,1155,1154,0,0,356
1/1/2022 0:00,WN,982,PVD,"Providence, RI",RI,15,BWI,"Baltimore, MD",MD,35,1645,1657,1810,1821,0,0,327
1/2/2022 0:00,AA,1703,PVD,"Providence, RI",RI,15,CLT,"Charlotte, NC",NC,36,533,529,803,752,0,0,683
1/2/2022 0:00,AA,1877,PVD,"Providence, RI",RI,15,CLT,"Charlotte, NC",NC,36,1925,1922,2146,2207,0,0,683
1/2/2022 0:00,AA,4541,PVD,"Providence, RI",RI,15,DCA,"Washington, DC",VA,38,1723,,1900,,1,0,356
