FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4501,BTV,"Burlington, VT",VT,16,MIA,"Miami, FL",FL,33,731,723,1120,1101,0,0,1348
1/1/2022 0:00,AA,4890,BTV,"Burlington, VT",VT,16,DCA,"Washington, DC",VA,38,1210,1205,1359,1340,0,0,437
1/1/2022 0:00,AA,5154,BTV,"Burlington, VT",VT,16,CLT,"Charlotte, NC",NC,36,545,625,840,858,0,0,761
1/1/2022 0:00,AA,5362,BTV,"Burlington, VT",VT,16,CLT,"Charlotte, NC",NC,36,1735,1727,2020,1959,0,0,761
1/1/2022 0:00,AA,5616,BTV,"Burlington, VT",VT,16,CLT,"Charlotte, NC",NC,36,1252,1241,1535,1513,0,0,761
1/1/2022 0:00,AA,5670,BTV,"Burlington, VT",VT,16,DCA,"Washington, DC",VA,38,1713,1737,1859,1922,0,0,437
1/1/2022 0:00,AA,5715,BTV,"Burlington, VT",VT,16,PHL,"Philadelphia, PA",PA,23,702,654,845,824,0,0,335
1/1/2022 0:00,AA,6058,BTV,"Burlington, VT",VT,16,PHL,"Philadelphia, PA",PA,23,1700,1649,1835,1939,0,0,335
1/1/2022 0:00,B6,1633,BTV,"Burlington, VT",VT,16,JFK,"New York, NY",NY,22,1139,1130,1259,1251,0,0,266
1/1/2022 0:00,B6,233,BTV,"Burlington, VT",VT,16,JFK,"New York, NY",NY,22,600,,734,,1,0,266
1/1/2022 0:00,DL,4957,BTV,"Burlington, VT",VT,16,ATL,"Atlanta, GA",GA,34,700,1211,1020,1505,0,0,961
1/1/2022 0:00,DL,5023,BTV,"Burlington, VT",VT,16,JFK,"New York, NY",NY,22,537,545,720,747,0,0,266
1/1/2022 0:00,DL,5333,BTV,"Burlington, VT",VT,16,DTW,"Detroit, MI",MI,43,1249,1247,1452,1459,0,0,537
1/1/2022 0:00,UA,281,BTV,"Burlington, VT",VT,16,IAD,"Washington, DC",VA,38,745,801,932,931,0,0,441
